fold,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,calmar,max_drawdown,profit_factor,hit_rate,annualization_mode,metric_scope,avg_turnover,total_turnover,gross_pnl,net_pnl,total_cost,cost_drag,cost_to_gross_pnl,gross_return_sum,net_return_sum,cost_return_sum,conventional_sharpe,return_over_vol_sharpe,sharpe_legacy_alias,bar_return_profit_factor,profit_factor_scope,bankrupt,bankruptcy_time,drawdown_guard_trigger_count,liquidate_at_end,terminal_open_exposure,terminal_liquidation_turnover,trade_count,trade_rate
0,-0.055218385285035865,-0.20324328277522585,0.25331181237585315,-0.8023442762853168,-1.0261007855132407,-1.224643469967967,-0.16596118605894505,0.948829209398191,0.4989561586638831,fixed_periods,bar_returns,0.008675799086757991,38.0,-0.05161934911627353,-0.055218385285035865,0.0038,0.0035990361687623373,0.06972261817279878,-0.0449595665268705,-0.048759566526870524,0.0038,-0.7699533009463164,-0.8023442762853168,return_over_vol_sharpe,0.948829209398191,bar_returns,False,,0.0,False,0.0,0.0,38.0,0.008675799086757991
1,0.40670422318736876,2.915715815300992,0.4694923954676139,6.210357917292659,5.357187393507212,24.20699456569108,-0.12044931093732214,1.1953111714232258,0.49066666666666664,fixed_periods,bar_returns,0.0136986301369863,60.0,0.4151649210276025,0.40670422318736876,0.006,0.008460697840233733,0.020379125045757944,0.3745163686252586,0.3685163686252586,0.006,3.1397004269533846,6.210357917292659,return_over_vol_sharpe,1.1953111714232258,bar_returns,False,,0.0,False,0.0,0.0,60.0,0.0136986301369863
2,0.48003107918450816,3.7982551817014487,0.3525331536074147,10.77417866329597,8.334777863429949,55.244173391831765,-0.06875395084222669,1.4284543894155253,0.5,fixed_periods,bar_returns,0.01004566210045662,44.0,0.48655782262029934,0.48003107918450816,0.0044,0.0065267434357911824,0.013414116744937284,0.41179518365356904,0.40739518365356897,0.0044,4.622489311825115,10.77417866329597,return_over_vol_sharpe,1.4284543894155253,bar_returns,False,,0.0,False,0.0,0.0,44.0,0.01004566210045662
3,0.19001303318948626,1.005427063429523,0.1991611217868801,5.048309903101561,5.653269990855499,21.87853208347614,-0.045954959848009014,1.2781500297782358,0.5016666666666667,fixed_periods,bar_returns,0.010958904109589041,48.0,0.1957398490615132,0.19001303318948626,0.0048000000000000004,0.005726815872026947,0.0292572815371245,0.18371421528780907,0.17891421528780907,0.0048000000000000004,3.5933562470945106,5.048309903101561,return_over_vol_sharpe,1.2781500297782358,bar_returns,False,,0.0,False,0.0,0.0,48.0,0.010958904109589041
4,0.027485869895063963,0.11455994791828039,0.14758945061943718,0.7762068863151735,1.1660694293947567,1.865303611446218,-0.061416247315073336,1.0535773988229182,0.4895238095238095,fixed_periods,bar_returns,0.009589041095890411,42.0,0.03181036155539996,0.027485869895063963,0.004200000000000001,0.004324491660335994,0.13594600780643726,0.03403658920633523,0.029836589206335244,0.004200000000000001,0.8086374488450285,0.7762068863151735,return_over_vol_sharpe,1.0535773988229182,bar_returns,False,,0.0,False,0.0,0.0,42.0,0.009589041095890411
5,-0.02347792929213177,-0.09065589972423971,0.11101442784749117,-0.8166136733937007,-1.0820606900407197,-1.132789831892968,-0.08002887841317186,0.9496885793553334,0.4774774774774775,fixed_periods,bar_returns,0.01004566210045662,44.0,-0.019171898730924508,-0.02347792929213177,0.0044,0.004306030561207264,0.2246011530543703,-0.017816078108196742,-0.022216078108196754,0.0044,-0.8004753450143126,-0.8166136733937007,return_over_vol_sharpe,0.9496885793553334,bar_returns,False,,0.0,False,0.0,0.0,44.0,0.01004566210045662
6,-0.06559600911177477,-0.23767749916335623,0.1418599312634897,-1.6754378565283217,-2.4011790217434483,-2.2835858187764697,-0.10408082639552485,0.8781183776629146,0.49440715883668906,fixed_periods,bar_returns,0.00821917808219178,36.0,-0.062225628062428484,-0.06559600911177477,0.0036000000000000003,0.0033703810493462827,0.05416387354041512,-0.06172590576788983,-0.06532590576788981,0.0036000000000000003,-1.841983291153692,-1.6754378565283217,return_over_vol_sharpe,0.8781183776629146,bar_returns,False,,0.0,False,0.0,0.0,36.0,0.00821917808219178
7,0.15010383663909987,0.749638025754662,0.1668394604113337,4.493169804712085,5.221261016745364,16.856697390008446,-0.04447122757266786,1.3175335281295695,0.5306748466257669,fixed_periods,bar_returns,0.005936073059360731,26.0,0.15310024975764147,0.15010383663909987,0.0026,0.0029964131185415965,0.019571575639392717,0.145930389949669,0.143330389949669,0.0026,3.436366662809761,4.493169804712085,return_over_vol_sharpe,1.3175335281295695,bar_returns,False,,0.0,False,0.0,0.0,26.0,0.005936073059360731
8,0.03415091117143065,0.14376203205422033,0.17337400182653834,0.8292017865403779,1.179241403512459,3.311332374318207,-0.043415162177375954,1.058475386006507,0.5055679287305123,fixed_periods,bar_returns,0.00821917808219178,36.0,0.03788289456976002,0.03415091117143065,0.0036000000000000003,0.0037319833983293638,0.09851368119342221,0.040942311008119736,0.03734231100811974,0.0036000000000000003,0.8615434982110162,0.8292017865403779,return_over_vol_sharpe,1.058475386006507,bar_returns,False,,0.0,False,0.0,0.0,36.0,0.00821917808219178
9,0.11893385523989242,0.5675364830629126,0.17523143262231092,3.2387824180275087,4.1909611003621,10.61770792721826,-0.053451883113872944,1.2072221309180133,0.5077605321507761,fixed_periods,bar_returns,0.00821917808219178,36.0,0.12297197106564561,0.11893385523989242,0.0036000000000000003,0.004038115825753197,0.03283769293734055,0.11980596702558743,0.11620596702558744,0.0036000000000000003,2.652628362082838,3.2387824180275087,return_over_vol_sharpe,1.2072221309180133,bar_returns,False,,0.0,False,0.0,0.0,36.0,0.00821917808219178
