trade_id,asset,side,signal_timestamp,entry_timestamp,exit_timestamp,timestamp,bar_in_trade,open_r,high_r,low_r,close_r,mfe_so_far_r,mae_so_far_r,drawdown_from_mfe_r,exit_reason,trade_r
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 10:30:00,0,-0.6285286045566012,0.21542311043270446,-0.8186078196442585,0.0,0.21542311043270446,-0.8186078196442585,0.21542311043270446,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 11:00:00,1,-0.0050687790690002,0.39283037784787284,-0.3320050290198243,-0.10644436044909641,0.39283037784787284,-0.8186078196442585,0.4992747382969692,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 11:30:00,2,-0.10897874998358499,0.21288872089819283,-0.36495209296833714,0.1698040988116796,0.39283037784787284,-0.8186078196442585,0.22302627903619324,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 12:00:00,3,0.19007921508768041,2.3417759298802134,0.0025343895345116252,1.0390997091459862,2.3417759298802134,-0.8186078196442585,1.3026762207342273,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 12:30:00,4,1.0365653196114746,1.7968821799621961,0.9326553486968898,1.766469505548172,2.3417759298802134,-0.8186078196442585,0.5753064243320414,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 13:00:00,5,1.7639351160136834,2.2251940112931163,1.6498875869610752,1.8703794764627797,2.3417759298802134,-0.8186078196442585,0.47139645341743375,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 13:30:00,6,1.8805170346007802,2.640833894951502,1.419258139321347,2.400066889173773,2.640833894951502,-0.8186078196442585,0.24076700577772892,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 14:00:00,7,2.4051356682427736,3.236415435559567,2.113680871774997,2.2682786333796527,3.236415435559567,-0.8186078196442585,0.9681368021799144,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 14:30:00,8,2.2708130229141643,2.2961569182591886,1.143009680060594,1.4268613079248589,3.236415435559567,-0.8186078196442585,1.8095541276347082,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 15:00:00,9,1.4293956974593474,2.2682786333796527,1.1962318602851307,2.179574999672069,3.236415435559567,-0.8186078196442585,1.0568404358874983,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 15:30:00,10,2.1821093892065804,2.4330139531223094,1.3761735172348106,1.4876866567529075,3.236415435559567,-0.8186078196442585,1.7487287788066597,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 16:00:00,11,1.5003586044254194,2.156765493861556,1.1506128486640828,1.8348980229797323,3.236415435559567,-0.8186078196442585,1.4015174125798349,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 16:30:00,12,1.824760464841732,1.8982577613422924,0.8718299998688183,1.201300639354131,3.236415435559567,-0.8186078196442585,2.035114796205436,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 17:00:00,13,1.2038350288886426,1.5561151741844677,0.1444602034666325,1.322951337010251,3.236415435559567,-0.8186078196442585,1.913464098549316,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 17:30:00,14,1.3330888951482744,2.050321133412437,1.0644436044910102,1.8070197381002198,3.236415435559567,-0.8186078196442585,1.4293956974593474,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 18:00:00,15,1.8095541276347082,2.280950581052165,1.6752314823060992,1.8348980229797323,3.236415435559567,-0.8186078196442585,1.4015174125798349,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 18:30:00,16,1.8399668020487556,2.2454691275691405,1.7487287788066597,2.144093546189044,3.236415435559567,-0.8186078196442585,1.092321889370523,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 19:00:00,17,2.1415591566545324,2.56987098798543,1.8779826450662915,2.2708130229141643,3.236415435559567,-0.8186078196442585,0.9656024126454028,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 19:30:00,18,2.273347412448676,3.2085371506800544,2.1871781682755804,2.838516278642694,3.236415435559567,-0.8186078196442585,0.39789915691687305,position_exit,2.420108841612632
0,ETHUSD,long,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2022-03-17 20:00:00,19,2.8461194472462057,2.9322886914193016,1.6929722090476114,1.9337392148253398,3.236415435559567,-0.8186078196442585,1.3026762207342273,position_exit,2.420108841612632
