fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.4851598173515982,2.7162522032810292
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.5536529680365296,2.6290153516899917
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.5226027397260274,2.708822055008931
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.5319634703196348,2.5715549958317108
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.526255707762557,2.6443532162767234
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.5251141552511416,2.599795433698107
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.5045662100456622,2.647110642611467
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.5289954337899543,2.6869669654665422
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.5472602739726027,2.4973856455964203
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.515296803652968,2.6268509914648153
