asset,signal_timestamp,entry_timestamp,exit_timestamp,side,signal,entry_price,exit_price,raw_entry_price,raw_exit_price,take_profit_price,stop_loss_price,target_price,position_size,gross_return,cost_paid,net_return,trade_r,bars_held,exit_reason,max_favorable_r,max_adverse_r,breakeven_activated,profit_lock_activated,effective_stop_price,r_trailing_activated,r_trailing_activation_r,r_trailing_distance_r,initial_risk_distance,effective_trailing_stop,intrabar_policy,stop_mode,effective_risk_per_trade,risk_guard_reason,entry_risk_modifier,entry_risk_modifier_rules,cost_return,net_r_multiple,mfe_r_multiple,mae_r_multiple,total_cost,entry_cost,exit_cost,holding_cost,cost_component_reconciliation,gross_pnl_currency,net_pnl_currency,cost_currency,gross_r_multiple,return_unit,r_multiple_unit,currency_pnl_available
ETHUSD,2022-03-24 09:30:00,2022-03-24 10:00:00,2022-03-24 21:30:00,short,-1.0,3049.05,3109.4,3049.05,3109.4,2055.1321383807344,3148.4417861619268,2055.1321383807344,0.30677082259418953,-0.006071930320447131,0.000322109363723899,-0.00639403968417103,-0.639403968417103,24,max_holding_close,0.4517475913638392,-0.8129444405834791,False,False,3148.4417861619268,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.0003221093637238992,-0.639403968417103,0.4517475913638392,-0.8129444405834791,0.0003221093637238992,0.0001610546818619496,0.0001610546818619496,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-03-25 00:00:00,2022-03-25 00:30:00,2022-03-25 12:00:00,short,-1.0,3098.5,3179.2,3098.5,3179.2,2127.7604773305357,3195.5739522669464,2127.7604773305357,0.31918964126229726,-0.008313249653015095,0.0003351491233254121,-0.008648398776340507,-0.8648398776340507,24,max_holding_close,0.012876780751262596,-0.8375058200621212,False,False,3195.5739522669464,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.00033514912332541225,-0.8648398776340507,0.012876780751262596,-0.8375058200621212,0.00033514912332541225,0.00016757456166270612,0.00016757456166270612,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-03-25 22:00:00,2022-03-25 22:30:00,2022-03-26 10:30:00,short,-1.0,3109.9,3125.0,3109.9,3125.0,2115.606641394645,3209.3293358605356,2115.606641394645,0.3127748941582089,-0.001518666485028123,0.00032841363886611935,-0.0018470801238942424,-0.18470801238942425,24,max_holding_close,0.23383440911856837,-0.3112763424610602,False,False,3209.3293358605356,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.00032841363886611935,-0.18470801238942425,0.23383440911856837,-0.3112763424610602,0.00032841363886611935,0.00016420681943305968,0.00016420681943305968,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-03-28 13:30:00,2022-03-28 14:00:00,2022-03-29 01:30:00,long,1.0,3380.4,3390.8500000000004,3380.4,3390.8500000000004,4209.5904933750635,3297.480950662494,4209.5904933750635,0.4076747173307212,0.0012602652928961917,0.0004280584531972572,0.0008322068396989345,0.08322068396989345,24,max_holding_close,0.6283236532046662,-0.7591741644766598,False,False,3297.480950662494,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.0004280584531972572,0.08322068396989345,0.6283236532046662,-0.7591741644766598,0.0004280584531972572,0.0002140292265986286,0.0002140292265986286,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-03-29 02:30:00,2022-03-29 03:00:00,2022-03-29 12:00:00,short,-1.0,3376.2,3477.751578960847,3376.2,3477.751578960847,2360.6842103915287,3477.751578960847,2360.6842103915287,0.33246159582626317,-0.01,0.0003490846756175763,-0.010349084675617577,-1.0349084675617577,19,stop_loss,0.07089993157837314,-1.0546364822283307,False,False,3477.751578960847,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.000349084675617577,-1.0349084675617577,0.07089993157837314,-1.0546364822283307,0.000349084675617577,0.0001745423378087885,0.0001745423378087885,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-03-30 12:00:00,2022-03-30 12:30:00,2022-03-31 00:00:00,short,-1.0,3392.45,3399.1,3392.45,3399.1,2336.467531442223,3498.0482468557775,2336.467531442223,0.32126006832606674,-0.0006297453033555377,0.00033732307174237007,-0.0009670683750979078,-0.09670683750979077,24,max_holding_close,0.400574832059206,-0.52368293647457,False,False,3498.0482468557775,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.0003373230717423701,-0.09670683750979077,0.400574832059206,-0.52368293647457,0.0003373230717423701,0.00016866153587118506,0.00016866153587118506,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-04-04 01:00:00,2022-04-04 01:30:00,2022-04-04 13:00:00,short,-1.0,3487.8500000000004,3462.7,3487.8500000000004,3462.7,2384.718451124756,3598.163154887525,2384.718451124756,0.31617715979170574,0.0022798731507265276,0.000331986017781291,0.0019478871329452366,0.19478871329452366,24,max_holding_close,0.34764666135332745,-0.21801570288259062,False,False,3598.163154887525,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.000331986017781291,0.19478871329452366,0.34764666135332745,-0.21801570288259062,0.000331986017781291,0.0001659930088906455,0.0001659930088906455,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-04-07 19:00:00,2022-04-07 19:30:00,2022-04-08 07:00:00,short,-1.0,3224.6,3250.65,3224.6,3250.65,1944.7018428895622,3352.5898157110437,1944.7018428895622,0.25194192069781696,-0.002035318189598164,0.00026453901673270777,-0.002299857206330872,-0.22998572063308723,24,max_holding_close,0.20157853854752866,-0.40276642101260657,False,False,3352.5898157110437,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.00026453901673270793,-0.22998572063308723,0.20157853854752866,-0.40276642101260657,0.00026453901673270793,0.00013226950836635397,0.00013226950836635397,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-04-08 11:00:00,2022-04-08 11:30:00,2022-04-08 23:30:00,short,-1.0,3265.15,3192.55,3265.15,3192.55,2137.877457416477,3377.8772542583524,2137.877457416477,0.28965045068132445,0.006440323635809715,0.00030413297321539064,0.006136190662594325,0.6136190662594324,24,max_holding_close,0.8130243267520147,-0.3765726423417699,False,False,3377.8772542583524,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.0003041329732153906,0.6136190662594324,0.8130243267520147,-0.3765726423417699,0.0003041329732153906,0.0001520664866076953,0.0001520664866076953,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-04-18 13:30:00,2022-04-18 14:00:00,2022-04-18 18:00:00,short,-1.0,2923.2,2998.6627205729483,2923.2,2998.6627205729483,2168.5727942705153,2998.6627205729483,2168.5727942705153,0.3873700786038048,-0.01,0.000406738582533995,-0.010406738582533995,-1.0406738582533994,9,stop_loss,0.36309319080952757,-1.3384092069986413,False,False,2998.6627205729483,False,1.0,0.5,,,adverse_first,volatility_stop,0.01,,1.0,,0.00040673858253399524,-1.0406738582533994,0.36309319080952757,-1.3384092069986413,0.00040673858253399524,0.00020336929126699762,0.00020336929126699762,0.0,0.0,,,,,fractional_return,R,False
