fold,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,calmar,max_drawdown,profit_factor,hit_rate,avg_turnover,total_turnover,gross_pnl,net_pnl,total_cost,cost_drag,cost_to_gross_pnl,trade_count,trade_rate
0,0.09909579150556147,0.4592919264486601,0.320430458739777,1.4333591390001197,2.089160372200278,3.7903015662547905,-0.1211755630575031,1.0692859094091092,0.4824242424242424,0.015068493150684932,66.0,0.11391801466261042,0.10731801466261044,0.0066,0.006599999999999981,0.057936402943354816,66.0,0.015068493150684932
1,0.413525822035854,2.9922247803028124,0.5039968711959248,5.936990785682097,9.311498960660456,18.453105261330066,-0.1621529134488413,1.1600104218421652,0.4972972972972973,0.016894977168949773,74.0,0.3850754444177418,0.3776754444177417,0.0074,0.007400000000000073,0.019217013463918128,74.0,0.016894977168949773
2,0.3882183187845527,2.7139075102773176,0.3490904046638328,7.774225455697521,13.9854526863572,39.472749958836026,-0.06875395084222669,1.3061506014920965,0.4861878453038674,0.013242009132420091,58.0,0.3488442185267646,0.3430442185267646,0.0058,0.005800000000000027,0.016626332591936025,57.0,0.013013698630136987
3,0.2698093970946256,1.5998850505351356,0.2671803829145617,5.98803337686189,10.049030685157216,16.886190478392535,-0.09474517373130065,1.229162645572221,0.49947201689545934,0.017351598173515982,76.0,0.25534817583185654,0.2477481758318565,0.007600000000000001,0.007600000000000051,0.029763282918474823,75.0,0.017123287671232876
4,0.10014383578957431,0.464865931956999,0.17814694611239804,2.6094521522906247,4.096410845904803,5.611266002004432,-0.08284510693147351,1.1253764917617413,0.4777636594663278,0.014383561643835616,63.0,0.10570155322701058,0.09940155322701058,0.006300000000000001,0.0063,0.059601773178013455,62.0,0.014155251141552512
5,-0.11929135928114798,-0.39837063022485286,0.15680560089253132,-2.540538271320303,-3.2543320489105874,-2.5689500754300125,-0.15507137878425692,0.8030116982642566,0.4566929133858268,0.01141552511415525,50.0,-0.11894821252124099,-0.12394821252124098,0.005,0.0049999999999999906,0.04203509993146919,50.0,0.01141552511415525
6,-0.1442202289179747,-0.4636502708146357,0.19151558441005812,-2.4209532202972275,-3.068412755555337,-2.6227033433165596,-0.17678334532045215,0.8495026483830059,0.46332046332046334,0.014155251141552512,62.0,-0.14494125111825118,-0.15114125111825116,0.006200000000000001,0.006199999999999983,0.04277595199548605,62.0,0.014155251141552512
7,0.1707138763067435,0.8784648117037843,0.2395937870234569,3.666475757227295,5.466942816263002,12.41369896364101,-0.07076575759382886,1.168090040887173,0.5015432098765432,0.011872146118721462,52.0,0.16998870263830024,0.16478870263830026,0.0052,0.005199999999999982,0.030590268172494335,52.0,0.011872146118721462
8,0.10325981345338642,0.4815325469009071,0.2914934085634062,1.651950036448811,2.5105183647467966,3.742940125339857,-0.12865088159997862,1.1024216360098305,0.48080133555926546,0.010958904109589041,48.0,0.11364586011592093,0.10884586011592091,0.0048000000000000004,0.004800000000000013,0.04223647033956107,48.0,0.010958904109589041
9,0.5105767347023649,4.206803238920839,0.29745437043478967,14.142684246903976,30.047963721135915,90.55604730882114,-0.04645524361917519,1.5800306169867329,0.5208333333333334,0.010502283105022832,46.0,0.42795095812310835,0.42335095812310836,0.0046,0.004599999999999993,0.010748895200923283,45.0,0.010273972602739725
