fold,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,calmar,max_drawdown,profit_factor,hit_rate,avg_turnover,total_turnover,gross_pnl,net_pnl,total_cost,cost_drag,cost_to_gross_pnl,trade_count,trade_rate
0,-0.1369752115125149,-0.44525540411495457,0.2792867823299506,-1.5942587773055725,-2.1229837996059,-2.4558936900315516,-0.1813007647367807,0.8894155513658424,0.465,0.010958904109589041,48.0,-0.13274007033822866,-0.13754007033822865,0.0048000000000000004,0.004799999999999999,0.0361608969150713,48.0,0.010958904109589041
1,0.5420770629176368,4.654891932899897,0.5199649234196108,8.952319133926284,14.91450153996415,29.346386448367138,-0.15861891347644608,1.2216858559025447,0.4910025706940874,0.014155251141552512,62.0,0.4728441845122082,0.4666441845122082,0.006200000000000001,0.006200000000000039,0.013112141807128273,61.0,0.013926940639269407
2,0.23250853663081772,1.3075958217066845,0.33459940418465495,3.9079442621633103,6.277368927587081,19.01848265719728,-0.0687539508422268,1.1862680408766595,0.49288486416558863,0.014155251141552512,62.0,0.2291028802881513,0.22290288028815128,0.006200000000000001,0.006200000000000011,0.027062077928492335,62.0,0.014155251141552512
3,0.3786891608372329,2.612979062744184,0.26667253110494593,9.798456001138998,18.03224067602936,38.90207061047808,-0.06716812297493469,1.3576018388533015,0.5073170731707317,0.015068493150684932,66.0,0.33656136940478276,0.3299613694047827,0.0066,0.00660000000000005,0.01961009373022301,66.0,0.015068493150684932
4,0.0942227624148726,0.43358345298803447,0.1956917582769858,2.2156449346953706,3.2876154440939103,6.168504064961176,-0.07028988688698601,1.1578284421070844,0.5081967213114754,0.01004566210045662,44.0,0.0992251702925232,0.09482517029252319,0.0044,0.004400000000000015,0.04434358728766574,44.0,0.01004566210045662
5,-0.12208707096160476,-0.4059735545786729,0.18615839664637848,-2.1807963642373296,-2.919655161874214,-2.639506381079775,-0.1538066198622321,0.8524814095667657,0.4631449631449631,0.014611872146118721,64.0,-0.11947210522262719,-0.12587210522262715,0.0064,0.006399999999999961,0.0535689899167181,64.0,0.014611872146118721
6,-0.031667383008981864,-0.12077861464053807,0.15840311081520989,-0.7624762797836474,-1.0471916609870437,-1.8056151238936764,-0.06689056435243401,0.9645247507976158,0.491025641025641,0.014155251141552512,62.0,-0.02284250083338457,-0.02904250083338457,0.006200000000000001,0.006199999999999997,0.2714238710211025,62.0,0.014155251141552512
7,0.10883181072990333,0.5116898839161936,0.218248519671706,2.3445285433591407,3.455437557983096,4.210983861948897,-0.12151314293552695,1.1281258031188144,0.5027522935779817,0.01004566210045662,44.0,0.1136580915581743,0.10925809155817434,0.0044,0.0043999999999999595,0.03871259793015196,44.0,0.01004566210045662
8,-0.006982511275555492,-0.02763887168514767,0.2119599760038799,-0.1303966541524884,-0.1761095372698343,-0.25542723948854645,-0.10820643773346272,0.998209468627883,0.4922048997772829,0.00821917808219178,36.0,0.0022189872871627436,-0.0013810127128372485,0.0036,0.003599999999999992,1.622361705642332,36.0,0.00821917808219178
9,0.05483845074119742,0.23806603359950973,0.19792127285960207,1.2028319652551187,1.791923053896816,3.0366755476696143,-0.07839692777919749,1.0811470248829964,0.4876190476190476,0.009589041095890411,42.0,0.06248202283810489,0.058282022838104894,0.004200000000000001,0.004199999999999995,0.06721933460577104,41.0,0.009360730593607305
