name,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,calmar,max_drawdown,profit_factor,hit_rate,annualization_mode,metric_scope,avg_turnover,total_turnover,gross_pnl,net_pnl,total_cost,cost_drag,cost_to_gross_pnl,gross_return_sum,net_return_sum,cost_return_sum,conventional_sharpe,return_over_vol_sharpe,sharpe_legacy_alias,bar_return_profit_factor,profit_factor_scope,bankrupt,bankruptcy_time,drawdown_guard_trigger_count,liquidate_at_end,terminal_open_exposure,terminal_liquidation_turnover,trade_count,trade_rate,active_rows,long_rate,short_rate,flat_rate
model_strategy,0.033166769038124544,0.013136989314117997,0.13185949910808262,0.09962869116733006,0.2498709254431368,0.08004846673624469,-0.16411294119353537,1.0250917241553013,0.32169433314253004,fixed_periods,bar_returns,0.029269406392694063,1282.0,0.17448394673236423,0.033166769038124544,0.1282,0.14131717769423968,0.8099150686395347,0.18246435083820534,0.05426435083820544,0.1282,0.16461264059171357,0.09962869116733006,return_over_vol_sharpe,1.0250917241553013,bar_returns,False,,0.0,False,0.0,0.0,1282.0,0.029269406392694063,1872.0,0.025273972602739725,0.017465753424657535,0.9572602739726027
buy_and_hold,-0.10261859848191912,-0.042385252333467016,0.6654855192359457,-0.06369072069686833,0.37569784700710984,-0.05666971474870138,-0.7479348100025207,1.0067897039753957,0.507216116375651,fixed_periods,bar_returns,2.2831050228310503e-05,1.0,-0.10252885136704304,-0.10261859848191912,0.0001,8.9747114876082e-05,0.0008753352220322483,0.4459804282216039,0.4458804282216039,0.0001,0.26800308366350406,-0.06369072069686833,return_over_vol_sharpe,1.0067897039753957,bar_returns,False,,0.0,False,1.0,0.0,1.0,2.2831050228310503e-05,43800.0,1.0,0.0,0.0
random_sign_same_rate,-0.37325359226806776,-0.17046112877285724,0.10431051488338883,-1.6341701405981912,-2.1403608451132783,-0.4325617034695403,-0.3940735562247031,0.7658201077568402,0.24315836698070883,fixed_periods,bar_returns,0.05031963470319635,2204.0,-0.21868589013608009,-0.37325359226806776,0.2204,0.15456770213198767,0.7068023549018455,-0.23312621438373216,-0.45352621438373203,0.2204,-1.739139011597209,-1.6341701405981912,return_over_vol_sharpe,0.7658201077568402,bar_returns,False,,0.0,False,0.0,0.0,2204.0,0.05031963470319635,1855.0,0.025730593607305938,0.016621004566210046,0.957648401826484
volatility_regime_only,-0.3222197978412059,-0.14407531513586225,0.3984792055813096,-0.3615629451119845,-0.2691835670248133,-0.26552571471583225,-0.5426040008594,0.9925422982873681,0.48422371568515776,fixed_periods,bar_returns,0.03415525114155251,1496.0,-0.21276632301312481,-0.3222197978412059,0.1496,0.1094534748280811,0.5144304478172953,-0.04089753975934718,-0.19049753975934697,0.1496,-0.19122457291736997,-0.3615629451119845,return_over_vol_sharpe,0.9925422982873681,bar_returns,False,,0.0,False,0.0,0.0,1496.0,0.03415525114155251,16875.0,0.3852739726027397,0.0,0.6147260273972602
simple_trend,-0.4251189969426239,-0.19863350065880303,0.42880669035692026,-0.46322388415504673,-0.43113866311299365,-0.3392748279050687,-0.5854648925336188,0.9898783442074196,0.47322121604139716,fixed_periods,bar_returns,0.04771689497716895,2090.0,-0.2911895652119968,-0.4251189969426239,0.20900000000000002,0.1339294317306271,0.45993898041340014,-0.11477710103415606,-0.32377710103415586,0.20900000000000002,-0.30202616546365707,-0.46322388415504673,return_over_vol_sharpe,0.9898783442074196,bar_returns,False,,0.0,False,0.0,0.0,2090.0,0.04771689497716895,43800.0,0.5080593607305937,0.4919406392694064,0.0
