name,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,calmar,max_drawdown,profit_factor,hit_rate,avg_turnover,total_turnover,gross_pnl,net_pnl,total_cost,cost_drag,cost_to_gross_pnl,trade_count,trade_rate,active_rows,long_rate,short_rate,flat_rate
model_strategy,-0.6114055755558194,-0.3148295475476053,0.6508440357039004,-0.4837250251623049,-0.6888542275172324,-0.3544936549834767,-0.8881105292625895,0.9934876287365779,0.4920976162914314,0.002488584474885845,109.0,-0.4049162946996451,-0.415816294699645,0.010900000000000002,0.01089999999999991,0.02691914388894944,109.0,0.002488584474885845,43273.0,0.0,0.9879680365296803,0.012031963470319635
buy_and_hold,-0.10261859848191912,-0.042385252333467016,0.6654855192359457,-0.06369072069686833,-0.08928429596052115,-0.05666971474870138,-0.7479348100025207,1.0067897039753957,0.507216116375651,2.2831050228310503e-05,1.0,0.4459804282216039,0.4458804282216039,0.0001,9.999999999998899e-05,0.0002242250862863221,1.0,2.2831050228310503e-05,43800.0,1.0,0.0,0.0
random_sign_same_rate,-0.7385682395470844,-0.4152862066055779,0.6070758370109299,-0.6840763233969746,-0.9719541342136357,-0.46881936988131434,-0.8858128168013006,0.9838601239415229,0.4861315489907544,0.015136986301369863,663.0,-0.8146274469940312,-0.8809274469940314,0.06630000000000001,0.06630000000000014,0.0813868968503903,663.0,0.015136986301369863,43310.0,0.0,0.9888127853881279,0.011187214611872146
volatility_regime_only,-0.1667622981433775,-0.07037549130835696,0.4049594780293216,-0.17378403303666184,-0.24052170786680868,-0.12021012302704635,-0.5854373120683274,1.0008901894380247,0.4943915703602991,0.019680365296803653,862.0,0.10922100629746623,0.023021006297466395,0.0862,0.08619999999999983,0.7892254697345681,862.0,0.019680365296803653,16875.0,0.3852739726027397,0.0,0.6147260273972602
simple_trend,-0.8670022616276659,-0.553791640483382,0.665797363764063,-0.8317720535157118,-1.1818216285104706,-0.6081315935061368,-0.9106444170916005,0.9780467140011262,0.4916829184352415,0.03527397260273973,1545.0,-1.3089021181075253,-1.463402118107525,0.1545,0.15449999999999964,0.11803785620225266,773.0,0.017648401826484018,43800.0,0.5080593607305937,0.4919406392694064,0.0
