fold,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,calmar,max_drawdown,profit_factor,hit_rate,annualization_mode,metric_scope,avg_turnover,total_turnover,gross_pnl,net_pnl,total_cost,cost_drag,cost_to_gross_pnl,gross_return_sum,net_return_sum,cost_return_sum,conventional_sharpe,return_over_vol_sharpe,sharpe_legacy_alias,bar_return_profit_factor,profit_factor_scope,bankrupt,bankruptcy_time,drawdown_guard_trigger_count,liquidate_at_end,terminal_open_exposure,terminal_liquidation_turnover,trade_count,trade_rate
0,0.029049792618232928,0.12136128470139451,0.2639288678635564,0.4598257313941679,0.7747507127942629,0.8441769249618157,-0.143762854814924,1.0400400399631644,0.5,fixed_periods,bar_returns,0.008675799086757991,38.0,0.032969999757439084,0.029049792618232928,0.0038,0.0039202071392061555,0.11890224956163767,0.04116102779278297,0.037361027792783,0.0038,0.5662287433006011,0.4598257313941679,return_over_vol_sharpe,1.0400400399631644,bar_returns,False,,0.0,False,0.0,0.0,38.0,0.008675799086757991
1,0.3019336443824796,1.8731308177057393,0.4052481424553984,4.622182365492017,4.668632335523965,15.80101418152351,-0.11854497415083864,1.1777748193682402,0.48668639053254437,fixed_periods,bar_returns,0.012328767123287671,54.0,0.3089749481602213,0.3019336443824796,0.0054,0.007041303777741703,0.022789238479264607,0.28961295807856546,0.28421295807856545,0.0054,2.8053227472582027,4.622182365492017,return_over_vol_sharpe,1.1777748193682402,bar_returns,False,,0.0,False,0.0,0.0,54.0,0.012328767123287671
2,0.3696330561027805,2.518980956888475,0.3272313425670298,7.6978596766674,7.039908817725135,36.63761756279155,-0.0687539508422268,1.3390294415357273,0.5039872408293461,fixed_periods,bar_returns,0.01141552511415525,50.0,0.3764992602302897,0.3696330561027805,0.005,0.006866204127509157,0.01823696578662431,0.3327503157731607,0.3277503157731607,0.005,4.006343808047967,7.6978596766674,return_over_vol_sharpe,1.3390294415357273,bar_returns,False,,0.0,False,0.0,0.0,50.0,0.01141552511415525
3,0.22492051639543664,1.2512909995929418,0.19396412050857106,6.451146718847152,8.02778688307635,27.128739836204456,-0.046124184431266535,1.4331564872771279,0.5090180360721442,fixed_periods,bar_returns,0.0091324200913242,40.0,0.229828295710496,0.22492051639543664,0.004,0.0049077793150593685,0.021354112642602847,0.2115416243792786,0.20754162437927856,0.004,4.2800003183085105,6.451146718847152,return_over_vol_sharpe,1.4331564872771279,bar_returns,False,,0.0,False,0.0,0.0,40.0,0.0091324200913242
4,0.036209786799969335,0.15289766392506254,0.1415649820111732,1.0800528616108953,1.6346775195944827,2.469351120876306,-0.06191815438170789,1.0751688883186916,0.494,fixed_periods,bar_returns,0.0091324200913242,40.0,0.04036402783943682,0.036209786799969335,0.004,0.004154241039467488,0.1029193879261146,0.042070424671401985,0.038070424671401974,0.004,1.0757017485693523,1.0800528616108953,return_over_vol_sharpe,1.0751688883186916,bar_returns,False,,0.0,False,0.0,0.0,40.0,0.0091324200913242
5,0.008433339906077197,0.03416249117212322,0.10588066518197446,0.3226508929974042,0.5128560794545824,0.781242807008717,-0.043728391308877734,1.0252430010666551,0.48582230623818523,fixed_periods,bar_returns,0.009589041095890411,42.0,0.012677758827592589,0.008433339906077197,0.004200000000000001,0.004244418921515392,0.3347925275465565,0.0140002577349021,0.009800257734902106,0.004200000000000001,0.3702378604463297,0.3226508929974042,return_over_vol_sharpe,1.0252430010666551,bar_returns,False,,0.0,False,0.0,0.0,42.0,0.009589041095890411
6,0.003569330117161984,0.014353943230610344,0.1400035934679792,0.1025255343456116,0.23019182292593743,0.21732215513666647,-0.06604914819468655,1.0122946287725227,0.5133333333333333,fixed_periods,bar_returns,0.00821917808219178,36.0,0.007187964068630537,0.003569330117161984,0.0036000000000000003,0.003618633951468553,0.5034296105152876,0.00961699510503955,0.006016995105039554,0.0036000000000000003,0.17190973334311527,0.1025255343456116,return_over_vol_sharpe,1.0122946287725227,bar_returns,False,,0.0,False,0.0,0.0,36.0,0.00821917808219178
7,0.07159717367751339,0.31863997676876377,0.18771148374413196,1.6974985782068581,2.2266639653685916,6.661058049923874,-0.04783624078646265,1.1238711037833695,0.5026737967914439,fixed_periods,bar_returns,0.00684931506849315,30.0,0.07481731197931718,0.07159717367751339,0.003,0.0032201383018037877,0.04304001596173325,0.0765565640391207,0.07355656403912071,0.003,1.5674387644686691,1.6974985782068581,return_over_vol_sharpe,1.1238711037833695,bar_returns,False,,0.0,False,0.0,0.0,30.0,0.00684931506849315
8,0.08565101072323444,0.38918781104421396,0.19141217004981534,2.0332448607783253,2.6966911473678197,9.135324190822544,-0.042602517755767955,1.1410076233798352,0.51,fixed_periods,bar_returns,0.0073059360730593605,32.0,0.08913135992441101,0.08565101072323444,0.0032,0.003480349201176569,0.03904741500778316,0.08995218113618653,0.08675218113618652,0.0032,1.8128874692473134,2.0332448607783253,return_over_vol_sharpe,1.1410076233798352,bar_returns,False,,0.0,False,0.0,0.0,32.0,0.0073059360730593605
9,0.024502944078598654,0.10167334810753248,0.17007689181622934,0.5978081267935687,1.011355135265884,1.7052673367615614,-0.059623113582072285,1.05136339397424,0.45866666666666667,fixed_periods,bar_returns,0.00684931506849315,30.0,0.02758337878846251,0.024502944078598654,0.003,0.003080434709863855,0.11167720725904434,0.030812800779471128,0.027812800779471146,0.003,0.6541229789058776,0.5978081267935687,return_over_vol_sharpe,1.05136339397424,bar_returns,False,,0.0,False,0.0,0.0,30.0,0.00684931506849315
