feature,bucket,row_count,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,calmar,max_drawdown,profit_factor,hit_rate,avg_turnover,total_turnover,gross_pnl,net_pnl,total_cost,cost_drag,cost_to_gross_pnl,trade_count,trade_rate
atr_pct_rank_192,low,13584.0,-0.4716665445775632,-0.5608428041099094,0.3302001325919902,-1.6984935763272735,-2.2995928317907386,-1.1343531484801945,-0.49441640362291595,0.930651960542458,0.4777252364360378,0.0357037691401649,485.0,-0.5471920177187016,-0.5956920177187015,0.0485,0.04849999999999988,0.08863433388922844,468.0,0.03445229681978799
atr_pct_rank_192,medium,21669.0,-0.22422734793022026,-0.18558231916798118,0.4567465105885528,-0.4063136003575466,-0.5759678846790467,-0.2621319867352213,-0.7079728097259542,0.9931223363922085,0.48445453833503016,0.03567308136046887,773.0,-0.047516521101001574,-0.12481652110100139,0.07730000000000001,0.07729999999999981,1.6268025985254768,754.0,0.03479625271124648
atr_pct_rank_192,high,8547.0,1.6213286357943577,6.209462907180882,0.7536670788250407,8.23899979399574,12.307186789296544,24.08391151150327,-0.25782618011260494,1.1023257107912756,0.4955734802282117,0.03849303849303849,329.0,1.1346585078768388,1.101758507876839,0.0329,0.03289999999999971,0.028995508138886773,309.0,0.03615303615303615
bollinger_bandwidth_rank_192,low,22514.0,-0.30568337325394723,-0.24715967103334302,0.4473331427859844,-0.5525181288693168,-0.7742616757475933,-0.5284648259954738,-0.46769370235335184,0.9868003669594928,0.48029099547175413,0.03553344585591188,800.0,-0.15609079537326065,-0.23609079537326047,0.08,0.07999999999999982,0.5125222138095692,771.0,0.03424535844363507
bollinger_bandwidth_rank_192,high,21286.0,-0.5060257087338403,-0.4403772805396595,0.5473203656331785,-0.804606055596342,-1.110460166022317,-0.5853811850539745,-0.7522914842216102,0.9743915061016665,0.4808866045615162,0.03622099032227755,771.0,-0.44579182364281533,-0.5228918236428152,0.0771,0.07709999999999984,0.17295068215915807,752.0,0.03532838485389458
ema_trend_48_192,negative,21826.0,-0.30538298442316314,-0.25360780292699703,0.5467346660674973,-0.46385901364390125,-0.6585586542584135,-0.3735688848070278,-0.6788782825368382,0.9910102631749826,0.47865449153203776,0.036332814074956477,793.0,-0.09900117799455943,-0.17830117799455927,0.0793,0.07929999999999984,0.8010005699564291,766.0,0.035095757353614955
ema_trend_48_192,positive,21974.0,-0.48493036686438085,-0.4107914818867062,0.4507493274417432,-0.911352401163147,-1.2652976958146211,-0.6584202908458047,-0.6239046511750188,0.9708176937356641,0.4826399510553686,0.03526895421862201,775.0,-0.45834515724222624,-0.5358451572422261,0.0775,0.0774999999999999,0.1690865470605219,753.0,0.03426777100209338
range_to_atr,calm,21900.0,-0.38668690955163143,-0.32369003358783177,0.1934363566981127,-1.6733670914459997,-2.3337162182953297,-0.6770781589969697,-0.478068933824936,0.94824275010891,0.47838930348258707,0.03675799086757991,805.0,-0.3849898850794754,-0.4654898850794754,0.0805,0.08050000000000002,0.2090964025805041,777.0,0.03547945205479452
range_to_atr,shock,21900.0,-0.5359352516850129,-0.4589182779592895,0.673829810548692,-0.6810596248117868,-0.9632176281915161,-0.6810703821610493,-0.6738191675625844,0.9829290032503315,0.47775323445881984,0.038082191780821915,834.0,-0.4006487537192783,-0.4840487537192782,0.0834,0.08339999999999986,0.2081623846967853,805.0,0.03675799086757991
