fold,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,calmar,max_drawdown,profit_factor,hit_rate,avg_turnover,total_turnover,gross_pnl,net_pnl,total_cost,cost_drag,cost_to_gross_pnl,trade_count,trade_rate
0,0.5139708216336039,4.253757473494604,0.627321683404861,6.780823277790818,10.050848126000012,19.41111854425103,-0.21914025530251757,1.0943052969583111,0.4780785360274495,0.036986301369863014,162.0,0.48008859116741864,0.4638885911674187,0.0162,0.016199999999999937,0.033743772082995956,156.0,0.03561643835616438
1,-0.20596473104640523,-0.6024798274166097,0.7719082417475712,-0.7805070536008503,-1.0664357412456589,-1.3177989250823086,-0.45718646141631913,0.9743616762691515,0.49035699630693474,0.03881278538812785,170.0,-0.1389546256748555,-0.1559546256748554,0.017,0.016999999999999904,0.12234209489203231,163.0,0.03721461187214612
2,-0.21555170926143474,-0.6213331523957528,0.5615155299442308,-1.106528883461982,-1.4905402802181902,-1.9008837666874445,-0.32686541033411665,0.95117520318322,0.4790491539081386,0.03995433789954338,175.0,-0.18567522525426716,-0.20317522525426723,0.0175,0.01750000000000007,0.09425059253885472,162.0,0.036986301369863014
3,-0.26556325350955423,-0.7090505154313012,0.3952606883957101,-1.7938806874754123,-2.397070180678691,-2.173599118844147,-0.3262103436112692,0.9073577280060359,0.4814673290026748,0.03584474885844749,157.0,-0.27336641037734244,-0.28906641037734243,0.015700000000000002,0.015699999999999992,0.05743207432957269,152.0,0.034703196347031964
4,-0.16653144158832633,-0.5174338163664034,0.3781708017389194,-1.368254275547238,-1.8692042580536696,-2.981818406991079,-0.17352962043337183,0.9454085993674032,0.48452857662904986,0.036073059360730596,158.0,-0.1484668646372107,-0.16426686463721066,0.0158,0.015799999999999953,0.10642105252649081,148.0,0.033789954337899546
5,-0.08592204904789236,-0.3018754143212389,0.2906548747445287,-1.038604339894772,-1.4954092780953487,-1.6436289910596449,-0.18366396307394184,0.9610355833585308,0.48104728409534975,0.03493150684931507,153.0,-0.06400605278774907,-0.07930605278774908,0.015300000000000001,0.015300000000000008,0.23903989284789115,150.0,0.03424657534246575
6,-0.0655380982641891,-0.23748849805963268,0.3399575564181411,-0.698582789457183,-0.9748431850915054,-1.261701370047459,-0.18822877084670164,0.9812551425396673,0.4748961872404681,0.036301369863013695,159.0,-0.03743064325194445,-0.05333064325194446,0.0159,0.01590000000000001,0.4247856466953457,151.0,0.03447488584474886
7,-0.32332184742061976,-0.7903337055045717,0.46448455831733937,-1.7015284821688512,-2.3913837822405712,-1.691088838392929,-0.46735197321486643,0.9136946618062024,0.474943904263276,0.033105022831050226,145.0,-0.34910315623043076,-0.36360315623043077,0.0145,0.014500000000000013,0.041535001162891404,145.0,0.033105022831050226
8,-0.018663078476341854,-0.07258833178052893,0.49591011936707186,-0.14637396767215222,-0.20290229614420335,-0.2690763226197672,-0.26976855887503626,1.0029517791015385,0.4835538752362949,0.03264840182648402,143.0,0.026281170356117545,0.011981170356117565,0.0143,0.01429999999999998,0.5441157987346384,143.0,0.03264840182648402
9,0.03618715399309136,0.1527969412504433,0.4986450186418968,0.3064242808774047,0.4249729850362927,0.566783191247527,-0.26958622557970924,1.0169659616138926,0.4859101294744859,0.03538812785388128,155.0,0.08222597958459432,0.06672597958459427,0.0155,0.015500000000000055,0.18850489928251393,152.0,0.034703196347031964
