feature,mean_importance,mean_importance_normalized,fold_count,source,rank
atr_48,1142.4,0.10558200538255673,10,feature_importances_,1
vol_rolling_192,1077.5,0.09951130722855439,10,feature_importances_,2
bollinger_bandwidth,883.5,0.0815688881850832,10,feature_importances_,3
vol_rolling_96,815.3,0.07528567155929453,10,feature_importances_,4
ema_trend_48_192,725.5,0.06703826284995604,10,feature_importances_,5
bollinger_bandwidth_rank_192,604.0,0.05579498138134644,10,feature_importances_,6
atr_over_price_48,571.4,0.05276346435745381,10,feature_importances_,7
vol_rolling_48,562.5,0.051944368926938225,10,feature_importances_,8
atr_pct_rank_192,476.2,0.044010745285178,10,feature_importances_,9
vol_rolling_24,407.8,0.03769209964872391,10,feature_importances_,10
mama_minus_fama_over_atr,396.8,0.03666292870023318,10,feature_importances_,11
close_over_bb_upper_192,307.2,0.028376104683754354,10,feature_importances_,12
ret_48,298.3,0.027564747773354853,10,feature_importances_,13
close_over_bb_mid_192,290.8,0.026843796961955952,10,feature_importances_,14
bollinger_percent_b,262.0,0.0242023514535436,10,feature_importances_,15
distance_from_ema96_atr,186.5,0.017232020366694932,10,feature_importances_,16
roofing_filter_over_atr,166.4,0.015370750928131099,10,feature_importances_,17
ret_24,166.1,0.015341961589166505,10,feature_importances_,18
atr_pct,148.2,0.013686548980498531,10,feature_importances_,19
ret_16,121.9,0.011266409253329536,10,feature_importances_,20
