asset,signal_time,entry_time,exit_time,side,signal_module,entry_cluster,entry_price,exit_price,take_profit_price,stop_loss_price,exit_reason,bars_held,gross_return,net_return,cost_return,gross_pnl_currency,net_pnl_currency,cost_currency,gross_r_multiple,net_r_multiple,mfe_r_multiple,mae_r_multiple,realized_r,cost,entry_context_age_bars,entry_macro_context_age_bars,entry_laggard_gap,signal_strength,entry_relay_score,trade_id,signal_timestamp,entry_timestamp,exit_timestamp,raw_entry_price,raw_exit_price,position_size,entry_cost,exit_cost,holding_cost,total_cost,entry_turnover,exit_turnover,holding_turnover,total_turnover,trade_r,gross_trade_r,total_cost_r,max_favorable_r,max_adverse_r,time_to_mfe,time_to_mae,risk_distance,risk_distance_source,cost_component_reconciliation,return_unit,r_multiple_unit,currency_pnl_available
ETHUSD,2022-03-16 01:00:00,2022-03-16 01:00:00,2022-03-16 13:00:00,short,,,2626.2,2674.9,,,position_exit,24,-0.019132872235749332,-0.01932914609681824,0.00019627386106890743,,,,-2.730418282467562,-2.7598664323378546,1.040025855026124,-5.987857752926786,,,,,,,,0,2022-03-16 01:00:00,2022-03-16 01:00:00,2022-03-16 13:00:00,2626.2,2674.9,1.0,0.0001,9.627386106890742e-05,0.0,0.00019627386106890743,1.0,1.0,0.0,2.0,-2.7598664323378546,-2.730418282467562,0.029448149870292695,1.040025855026124,-5.987857752926786,6,2,17.836095045477283,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,long,,,2773.0,2821.3,,,position_exit,24,0.017417958889289542,0.017214665763794157,0.00020329312549538514,,,,2.4482202903293273,2.4201088416126266,3.2364154355595596,-0.3649520929683363,,,,,,,,1,2022-03-17 10:30:00,2022-03-17 10:30:00,2022-03-17 22:30:00,2773.0,2821.3,1.0,0.0001,0.00010329312549538514,0.0,0.00020329312549538514,1.0,1.0,0.0,2.0,2.4201088416126266,2.4482202903293273,0.028111448716700613,3.2364154355595596,-0.3649520929683363,7,2,19.72861682046717,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-03-18 15:30:00,2022-03-18 15:30:00,2022-03-19 04:30:00,long,,,2899.0,2947.55,,,position_exit,24,0.016747154191099956,0.016543787334770688,0.00020336685632926788,,,,2.6153577113070905,2.5841242529957444,4.678554422801666,-0.7487841851116098,,,,,,,,2,2022-03-18 15:30:00,2022-03-18 15:30:00,2022-03-19 04:30:00,2899.0,2947.55,1.0,0.0001,0.00010336685632926787,0.0,0.00020336685632926788,1.0,1.0,0.0,2.0,2.5841242529957444,2.6153577113070905,0.031233458311345937,4.678554422801666,-0.7487841851116098,9,1,18.563426253357942,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-03-24 05:30:00,2022-03-24 05:30:00,2022-03-24 17:30:00,short,,,3049.5,3099.45,,,position_exit,24,-0.01677584747175176,-0.016971814464463608,0.00019596699271184903,,,,-2.490193451772782,-2.5205992372830166,2.260866327085002,-4.005746623622516,,,,,,,,3,2022-03-24 05:30:00,2022-03-24 05:30:00,2022-03-24 17:30:00,3049.5,3099.45,1.0,0.0001,9.596699271184903e-05,0.0,0.00019596699271184903,1.0,1.0,0.0,2.0,-2.5205992372830166,-2.490193451772782,0.03040578551023474,2.260866327085002,-4.005746623622516,16,20,20.058682575219265,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-03-25 18:00:00,2022-03-25 18:00:00,2022-03-26 07:00:00,short,,,3125.0,3120.15,,,position_exit,24,0.001236421651939823,0.001036251670329058,0.00020016998161076494,,,,0.24281646211493743,0.2115256809145583,2.080211134201213,-0.4080317868529483,,,,,,,,4,2022-03-25 18:00:00,2022-03-25 18:00:00,2022-03-26 07:00:00,3125.0,3120.15,1.0,0.0001,0.00010016998161076493,0.0,0.00020016998161076494,1.0,1.0,0.0,2.0,0.2115256809145583,0.24281646211493743,0.03129078120037912,2.080211134201213,-0.4080317868529483,3,22,19.973934047783615,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-03-28 13:30:00,2022-03-28 13:30:00,2022-03-29 01:30:00,long,,,3380.3,3390.8500000000004,,,position_exit,24,0.003121024761115976,0.0029208542905958534,0.00020017047052012238,,,,0.6361814601860369,0.5954139873923531,3.147741442816155,-3.7899530590229347,,,,,,,,5,2022-03-28 13:30:00,2022-03-28 13:30:00,2022-03-29 01:30:00,3380.3,3390.8500000000004,1.0,0.0001,0.00010017047052012237,0.0,0.00020017047052012238,1.0,1.0,0.0,2.0,0.5954139873923531,0.6361814601860369,0.04076747279368386,3.147741442816155,-3.7899530590229347,12,20,16.583318848862827,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-03-30 11:00:00,2022-03-30 11:00:00,2022-03-30 23:00:00,short,,,3413.3,3391.65,,,position_exit,24,0.005836750693178461,0.005635550367325326,0.00020120032585313474,,,,1.0205616069919488,0.9883816260852919,2.9768344333275465,-1.623942141379783,,,,,,,,6,2022-03-30 11:00:00,2022-03-30 11:00:00,2022-03-30 23:00:00,3413.3,3391.65,1.0,0.0001,0.00010120032585313474,0.0,0.00020120032585313474,1.0,1.0,0.0,2.0,0.9883816260852919,1.0205616069919488,0.03217998090665685,2.9768344333275465,-1.623942141379783,8,14,21.213809976462194,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-04-02 13:30:00,2022-04-02 13:30:00,2022-04-03 01:30:00,short,,,3505.15,3441.1,,,position_exit,24,0.018075744278278183,0.017871496748207205,0.00020424753007097785,,,,2.8415897295507935,2.8104884079566173,4.0416678276670766,-0.26619107536775505,,,,,,,,7,2022-04-02 13:30:00,2022-04-02 13:30:00,2022-04-03 01:30:00,3505.15,3441.1,1.0,0.0001,0.00010424753007097784,0.0,0.00020424753007097785,1.0,1.0,0.0,2.0,2.8104884079566173,2.8415897295507935,0.031101321594176223,4.0416678276670766,-0.26619107536775505,24,1,22.540199710718053,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-04-04 01:00:00,2022-04-04 01:00:00,2022-04-04 13:00:00,short,,,3487.8,3462.7,,,position_exit,24,0.007040216481759787,0.006838951920592473,0.00020126456116731362,,,,1.1376866378467625,1.1060689210700145,1.7359919613358796,-1.0923604769763535,,,,,,,,8,2022-04-04 01:00:00,2022-04-04 01:00:00,2022-04-04 13:00:00,3487.8,3462.7,1.0,0.0001,0.00010126456116731361,0.0,0.00020126456116731362,1.0,1.0,0.0,2.0,1.1060689210700145,1.1376866378467625,0.03161771677674806,1.7359919613358796,-1.0923604769763535,19,13,22.062314142588303,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-04-07 12:30:00,2022-04-07 12:30:00,2022-04-08 00:30:00,short,,,3231.05,3219.0,,,position_exit,24,0.003175146101996207,0.0029748400226268235,0.00020030607936938338,,,,0.4767195599148947,0.4511543361130192,2.822733659745012,-1.123554813409347,,,,,,,,9,2022-04-07 12:30:00,2022-04-07 12:30:00,2022-04-08 00:30:00,3231.05,3219.0,1.0,0.0001,0.00010030607936938338,0.0,0.00020030607936938338,1.0,1.0,0.0,2.0,0.4511543361130192,0.4767195599148947,0.025565223801875474,2.822733659745012,-1.123554813409347,6,21,25.276915430429124,atr_48,0.0,fractional_return,R,False
