fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.4771689497716895,2.7444605329569822
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.5502283105022832,2.6271670635094444
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.5228310502283106,2.781909753603019
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.5324200913242009,2.5793391855515813
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.5148401826484018,2.651557916572717
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.5150684931506849,2.58578452448853
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.5214611872146119,2.6628261124133634
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.5260273972602739,2.6645326663707527
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.5299086757990867,2.510672345319935
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.4997716894977169,2.650579345478843
