fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.5200913242009132,2.6420184254144656
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.532648401826484,2.58126229225884
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.5191780821917809,2.5439250482988593
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.539269406392694,2.478848596612207
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.4821917808219178,2.6040923199042467
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.5073059360730594,2.465457437585492
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.5107305936073059,2.4952540156386784
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.506392694063927,2.594661074755077
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.5221461187214612,2.4892134823795082
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.4968036529680365,2.6299664086295937
