fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.47420091324200914,2.7410826673901187
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.5668949771689498,2.6329620808255614
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.5182648401826484,2.7257684491286205
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.5383561643835616,2.60873646522558
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.5082191780821917,2.6721231888753714
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.5273972602739726,2.54115789550024
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.49748858447488586,2.660333140998467
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.4995433789954338,2.6841842974677275
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.54337899543379,2.495104193580842
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.5141552511415525,2.6270785614258516
