name,upper,lower,net_pnl,profitable_fold_count,median_fold_return,worst_3_fold_average_return,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,calmar,max_drawdown,profit_factor,hit_rate,total_turnover,total_cost,cost_to_gross_pnl,active_rows,long_rate,short_rate,flat_rate
sym_0.35,0.35,-0.35,1.2995019578167741,7.0,0.035406174062065476,-0.11235425347567629,1.2995019578167741,0.3952547621031066,0.5212277788965973,0.7583148445001018,1.0899280265694933,0.9097984445037925,-0.43444211681267497,1.0287212918610866,0.4903890731428979,1756.0,0.1756,0.13028841802603622,30440.0,0.34812785388127854,0.34684931506849315,0.3050228310502283
sym_0.5,0.5,-0.5,0.8629098961711774,5.0,0.00943191437737756,-0.18153945641110655,0.8629098961711774,0.2825571907111164,0.5054836796632125,0.5589838051732454,0.7976084168211124,0.6771353627163778,-0.4172831700557148,1.0252329935934708,0.4886421394221371,1697.0,0.16970000000000002,0.15268345150033677,25255.0,0.2878082191780822,0.28878995433789956,0.42340182648401825
sym_0.75,0.75,-0.75,0.9035872959941851,7.0,0.07826145942374074,-0.2577425789430429,0.9035872959941851,0.2936867172436832,0.4718384199083166,0.622430698417373,0.8905818530011227,0.5146796392693551,-0.5706204303333314,1.0286855924074916,0.49000667705319384,1564.0,0.1564,0.14502060569469355,17763.0,0.2006392694063927,0.20490867579908675,0.5944520547945206
sym_1,1.0,-1.0,1.7350894898771645,8.0,0.02896371965008937,-0.036780841574368416,1.7350894898771645,0.4955075719549553,0.4310644926213366,1.1494975356047894,1.6568423237634446,1.631590507815866,-0.3036960374440203,1.046548201580075,0.48885876931417727,1326.0,0.1326,0.09671086451905662,12335.0,0.13842465753424657,0.14319634703196346,0.7183789954337899
sym_1.25,1.25,-1.25,0.6841528399156249,6.0,0.03457074195903398,-0.1307457559134965,0.6841528399156249,0.23183517384638797,0.3954451790012794,0.5862637507224179,0.8367771560762817,0.694242765231818,-0.3339396324410737,1.0327858956962674,0.4918871011726207,1086.0,0.10860000000000002,0.13158490134362488,8337.0,0.09011415525114155,0.1002283105022831,0.8096575342465754
