metric,value
counterfactual.baseline.avg_r,0.014332555134903086
counterfactual.baseline.median_r,0.18574594624779836
counterfactual.baseline.profit_factor,1.050682870711769
counterfactual.baseline.trade_count,943
counterfactual.baseline.win_rate,0.6712619300106044
counterfactual.best_policy_by_avg_r,exit_at_first_1_0r
counterfactual.best_policy_by_profit_factor,exit_at_first_1_0r
counterfactual.breakeven_after_0_5r.avg_r,-0.14596184937755824
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.46423434051697343
counterfactual.breakeven_after_0_5r.trade_count,943
counterfactual.breakeven_after_0_5r.win_rate,0.352067868504772
counterfactual.breakeven_after_1_0r.avg_r,-0.04992742856324065
counterfactual.breakeven_after_1_0r.median_r,0.136902859212324
counterfactual.breakeven_after_1_0r.profit_factor,0.821825553641058
counterfactual.breakeven_after_1_0r.trade_count,943
counterfactual.breakeven_after_1_0r.win_rate,0.5991516436903499
counterfactual.exit_at_first_0_5r.avg_r,0.02815710535065769
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,1.1033531034421629
counterfactual.exit_at_first_0_5r.trade_count,943
counterfactual.exit_at_first_0_5r.win_rate,0.7020148462354189
counterfactual.exit_at_first_1_0r.avg_r,0.04557724074854887
counterfactual.exit_at_first_1_0r.median_r,0.19325297217087037
counterfactual.exit_at_first_1_0r.profit_factor,1.1626500677208886
counterfactual.exit_at_first_1_0r.trade_count,943
counterfactual.exit_at_first_1_0r.win_rate,0.6755037115588547
counterfactual.partial_50pct_at_1r.avg_r,0.02995489794172597
counterfactual.partial_50pct_at_1r.median_r,0.18982219839479023
counterfactual.partial_50pct_at_1r.profit_factor,1.1068886419021846
counterfactual.partial_50pct_at_1r.trade_count,943
counterfactual.partial_50pct_at_1r.win_rate,0.6733828207847296
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.0056013013205819
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.1380444081145378
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.0216577560516702
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,943
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.6086956521739131
counterfactual.trail_0_5r_after_1_0r.avg_r,0.03862079045202291
counterfactual.trail_0_5r_after_1_0r.median_r,0.19325297217087037
counterfactual.trail_0_5r_after_1_0r.profit_factor,1.1378248020127408
counterfactual.trail_0_5r_after_1_0r.trade_count,943
counterfactual.trail_0_5r_after_1_0r.win_rate,0.6755037115588547
