fold,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,calmar,max_drawdown,profit_factor,hit_rate,annualization_mode,metric_scope,avg_turnover,total_turnover,gross_pnl,net_pnl,total_cost,cost_drag,cost_to_gross_pnl,gross_return_sum,net_return_sum,cost_return_sum,conventional_sharpe,return_over_vol_sharpe,sharpe_legacy_alias,bar_return_profit_factor,profit_factor_scope,bankrupt,bankruptcy_time,drawdown_guard_trigger_count,liquidate_at_end,terminal_open_exposure,terminal_liquidation_turnover,trade_count,trade_rate
0,-0.0726557621623144,-0.26045618195772346,0.06523610592288207,-3.9925157744028748,-5.231705642767095,-3.176878122286216,-0.08198494620570718,0.5525483962946502,0.2994350282485876,fixed_periods,bar_returns,0.014155251141552512,62.0,-0.04196383224705558,-0.0726557621623144,0.032549999999999996,0.03069192991525882,0.7313900631039802,-0.042345896466136845,-0.07489589646613684,0.032549999999999996,-4.592297189208318,-3.9925157744028748,return_over_vol_sharpe,0.5525483962946502,bar_returns,False,,0.0,False,0.0,0.0,124.0,0.028310502283105023
1,-0.05382728745556886,-0.19854032553220724,0.13644940379601486,-1.455047219033769,-2.5584352214030215,-1.8594545718983906,-0.10677342083679386,0.8474075897377877,0.2701863354037267,fixed_periods,bar_returns,0.027625570776255708,121.0,0.008248789156353853,-0.05382728745556886,0.063525,0.062076076611922715,7.52547742890324,0.010509473031847238,-0.053015526968152746,0.063525,-1.5541446277745077,-1.455047219033769,return_over_vol_sharpe,0.8474075897377877,bar_returns,False,,0.0,False,0.0,0.0,242.0,0.055251141552511415
2,-0.017772880176104566,-0.06921862536198697,0.07661304705551267,-0.9034835190908436,-1.4636507016000317,-0.9983804672678981,-0.06933090903852124,0.8884072730604822,0.319047619047619,fixed_periods,bar_returns,0.0182648401826484,80.0,0.02435942201121044,-0.017772880176104566,0.041999999999999996,0.04213230218731501,1.7296100937011278,0.024797537126398428,-0.017202462873601568,0.041999999999999996,-0.8981479544149666,-0.9034835190908436,return_over_vol_sharpe,0.8884072730604822,bar_returns,False,,0.0,False,0.0,0.0,160.0,0.0365296803652968
3,-0.04062514827149899,-0.15286364463757218,0.06744561184226287,-2.2664727987801356,-3.4884861027442273,-3.445970535744737,-0.04436011366084869,0.7053527933650928,0.2785388127853881,fixed_periods,bar_returns,0.0182648401826484,80.0,0.0005324009953342479,-0.04062514827149899,0.041999999999999996,0.04115754926683324,77.30554530799482,0.0010948227396737065,-0.04090517726032629,0.041999999999999996,-2.425965226973846,-2.2664727987801356,return_over_vol_sharpe,0.7053527933650928,bar_returns,False,,0.0,False,0.0,0.0,160.0,0.0365296803652968
4,0.002290055111950018,0.00919173462922207,0.036408159487138395,0.2524635894453593,0.45523861751826483,0.7151634149744974,-0.012852635407181512,1.0496023069517433,0.3333333333333333,fixed_periods,bar_returns,0.009360730593607305,41.0,0.024094888396368752,0.002290055111950018,0.021524999999999996,0.021804833284418734,0.9049568076731518,0.023977777791161392,0.002452777791161392,0.021524999999999996,0.269475614885489,0.2524635894453593,return_over_vol_sharpe,1.0496023069517433,bar_returns,False,,0.0,False,0.0,0.0,82.0,0.01872146118721461
5,-0.05263611537441848,-0.1944967478395052,0.028040317163055675,-6.936324817886263,-8.812884895721918,-3.695119718770736,-0.05263611537441848,0.36302167804015245,0.23121387283236994,fixed_periods,bar_returns,0.014383561643835616,63.0,-0.020772861622031957,-0.05263611537441848,0.033075,0.03186325375238652,1.5338885095442005,-0.020898275946097666,-0.05397327594609767,0.033075,-7.6993816628022715,-6.936324817886263,return_over_vol_sharpe,0.36302167804015245,bar_returns,False,,0.0,False,0.0,0.0,126.0,0.028767123287671233
6,-0.04472513567077163,-0.16725237627826683,0.040665677684079284,-4.112863372832628,-4.951542525505398,-3.0163709194870414,-0.05544821268423761,0.5125568755362301,0.32,fixed_periods,bar_returns,0.010958904109589041,48.0,-0.020339643926389872,-0.04472513567077163,0.0252,0.02438549174438176,1.1989143877166188,-0.02034827263727612,-0.045548272637276115,0.0252,-4.480266921026463,-4.112863372832628,return_over_vol_sharpe,0.5125568755362301,bar_returns,False,,0.0,False,0.0,0.0,96.0,0.021917808219178082
7,0.02297049780258953,0.09509661319427098,0.04107616762567733,2.3151286668434143,3.6637772955657693,5.109143479402697,-0.018613024585754756,1.444749376609592,0.36363636363636365,fixed_periods,bar_returns,0.0073059360730593605,32.0,0.04029377462208994,0.02297049780258953,0.0168,0.01732327681950041,0.42992439854476694,0.03972144095492164,0.02292144095492164,0.0168,2.2320914807634686,2.3151286668434143,return_over_vol_sharpe,1.444749376609592,bar_returns,False,,0.0,False,0.0,0.0,64.0,0.014611872146118721
8,-0.010466848556041963,-0.04121463948868709,0.04527306666005577,-0.9103566983468913,-1.2312389033703284,-1.5797782102242643,-0.02608887704739027,0.8748364155497312,0.36036036036036034,fixed_periods,bar_returns,0.009360730593607305,41.0,0.011061979790011556,-0.010466848556041963,0.021525,0.02152882834605352,1.9462002963965848,0.01125928621525818,-0.010265713784741821,0.021525,-0.9070040571207179,-0.9103566983468913,return_over_vol_sharpe,0.8748364155497312,bar_returns,False,,0.0,False,0.0,0.0,82.0,0.01872146118721461
9,-0.003129203856299112,-0.01245818639228402,0.029929881852167578,-0.416245759131915,-0.6003227326205597,-0.913326253703051,-0.01364045579744666,0.9243679172074362,0.26666666666666666,fixed_periods,bar_returns,0.0073059360730593605,32.0,0.013760765380018913,-0.003129203856299112,0.0168,0.016889969236318025,1.2274004221337005,0.013777791331138378,-0.003022208668861619,0.0168,-0.4039051919802677,-0.416245759131915,return_over_vol_sharpe,0.9243679172074362,bar_returns,False,,0.0,False,0.0,0.0,64.0,0.014611872146118721
