feature,bucket,row_count,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,calmar,max_drawdown,profit_factor,hit_rate,annualization_mode,metric_scope,avg_turnover,total_turnover,gross_pnl,net_pnl,total_cost,cost_drag,cost_to_gross_pnl,gross_return_sum,net_return_sum,cost_return_sum,conventional_sharpe,return_over_vol_sharpe,sharpe_legacy_alias,bar_return_profit_factor,profit_factor_scope,bankrupt,bankruptcy_time,drawdown_guard_trigger_count,liquidate_at_end,terminal_open_exposure,terminal_liquidation_turnover,trade_count,trade_rate
atr_pct_rank_192,low,13584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_periods,bar_returns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,return_over_vol_sharpe,0.0,bar_returns,False,,0.0,False,0.0,0.0,0.0,0.0
atr_pct_rank_192,medium,21669.0,-0.12396695384049838,-0.10148322820557831,0.08350325080714702,-1.215320687813179,-1.9995076690771059,-0.5299149886981038,-0.1915085067793657,0.8776080144124806,0.30185185185185187,fixed_periods,bar_returns,0.027366283630993585,593.0,0.19599130408614118,-0.12396695384049838,0.311325,0.31995825792663957,1.6325125209943652,0.1832679274903724,-0.12805707250962756,0.311325,-1.239925005530255,-1.215320687813179,return_over_vol_sharpe,0.8776080144124806,bar_returns,False,,0.0,False,0.0,0.0,1186.0,0.05473256726198717
atr_pct_rank_192,high,8547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_periods,bar_returns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,return_over_vol_sharpe,0.0,bar_returns,False,,0.0,False,0.0,0.0,0.0,0.0
bollinger_bandwidth_rank_192,low,22514.0,-0.001173464657357015,-0.0009132885223627207,0.04694478432824268,-0.019454525895292542,0.007089716414995006,-0.020058125455390152,-0.04553209742325626,1.001192662464244,0.3025210084033613,fixed_periods,bar_returns,0.004041929466109976,91.0,0.04770995625584673,-0.001173464657357015,0.047775,0.048883420913203746,1.0245958024162558,0.048006262890894935,0.00023126289089493279,0.047775,0.003833540379408014,-0.019454525895292542,return_over_vol_sharpe,1.001192662464244,bar_returns,False,,0.0,False,0.0,0.0,182.0,0.008083858932219952
bollinger_bandwidth_rank_192,high,21286.0,-0.24056772630438672,-0.20267867291639863,0.07884084246822626,-2.5707319527702968,-3.9440651190714284,-0.8046146849206716,-0.2518953192314419,0.733135383017631,0.2916368834882059,fixed_periods,bar_returns,0.024382223057408624,519.0,-0.002674648185416184,-0.24056772630438672,0.272475,0.23789307811897054,88.94368964715021,0.0010652213063008786,-0.2714097786936991,0.272475,-2.833441683056394,-2.5707319527702968,return_over_vol_sharpe,0.733135383017631,bar_returns,False,,0.0,False,0.0,0.0,1038.0,0.04876444611481725
ema_trend_48_192,negative,21826.0,-0.03947451827269399,-0.03181205617394478,0.07203775134476233,-0.4416025705979751,-0.7280269047407759,-0.3478493644281313,-0.0914535411793671,0.9380540387097094,0.301909307875895,fixed_periods,bar_returns,0.014157426922019609,309.0,0.1297169237764071,-0.03947451827269399,0.16222499999999998,0.16919144204910108,1.3043127845117277,0.12516334452759964,-0.03706165547240035,0.16222499999999998,-0.41297581374253584,-0.4416025705979751,return_over_vol_sharpe,0.9380540387097094,bar_returns,False,,0.0,False,0.0,0.0,618.0,0.028314853844039218
ema_trend_48_192,positive,21974.0,-0.2098652612721631,-0.1712252185520312,0.05592243578975901,-3.061834058798051,-4.044522129760138,-0.7989744654321855,-0.21430624626959904,0.616350928259081,0.28860759493670884,fixed_periods,bar_returns,0.013288431783016292,292.0,-0.07894000478676944,-0.2098652612721631,0.1533,0.13092525648539366,1.658541278772979,-0.08028378023387428,-0.2335837802338743,0.1533,-3.3302864069722786,-3.061834058798051,return_over_vol_sharpe,0.616350928259081,bar_returns,False,,0.0,False,0.0,0.0,584.0,0.026576863566032585
range_to_atr,calm,21900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_periods,bar_returns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,return_over_vol_sharpe,0.0,bar_returns,False,,0.0,False,0.0,0.0,0.0,0.0
range_to_atr,shock,21900.0,-0.16043619165100964,-0.13055329266878268,0.10742905100847389,-1.215251288578215,-1.8503367081149003,-0.6791663128738139,-0.19222580713163095,0.8811894741168903,0.352170916609235,fixed_periods,bar_returns,0.019360730593607305,424.0,0.04891123025038402,-0.16043619165100964,0.22260000000000002,0.20934742190139366,4.280150403694865,0.05492582828706094,-0.16767417171293905,0.22260000000000002,-1.2486318748154117,-1.215251288578215,return_over_vol_sharpe,0.8811894741168903,bar_returns,False,,0.0,False,0.0,0.0,848.0,0.03872146118721461
