feature,bucket,row_count,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,calmar,max_drawdown,profit_factor,hit_rate,avg_turnover,total_turnover,gross_pnl,net_pnl,total_cost,cost_drag,cost_to_gross_pnl,trade_count,trade_rate
atr_pct_rank_192,low,13584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atr_pct_rank_192,medium,21669.0,1.3263209936888556,0.9790774262529534,0.33097872634589565,2.958127965087852,4.5368020467793,6.094791837060679,-0.16064165149980425,1.1051322382981013,0.4845605700712589,0.023305182518805666,505.0,0.9622472704111684,0.9117472704111684,0.0505,0.05049999999999999,0.05248131281102138,497.0,0.022935991508606767
atr_pct_rank_192,high,8547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bollinger_bandwidth_rank_192,low,22514.0,0.23576322698358476,0.17907766610978526,0.18901228357081606,0.9474393024974556,1.4896607341690118,1.4355333144807265,-0.12474643695368559,1.084787223334651,0.48997995991983967,0.007106689171182376,160.0,0.25052543098171665,0.23452543098171663,0.016,0.016000000000000014,0.06386577177934355,160.0,0.007106689171182376
bollinger_bandwidth_rank_192,high,21286.0,1.5004579500185473,1.1261819324872757,0.3772136272107,2.985528229228646,4.61722940850898,5.2015469425071785,-0.21650903950978262,1.1081073969851265,0.48712096511248776,0.023019825237245137,490.0,1.0514070361488557,1.0024070361488557,0.049,0.04899999999999993,0.04660421541354675,486.0,0.02283190829653293
ema_trend_48_192,negative,21826.0,1.2732871342321412,0.9332624273003538,0.3267797934291009,2.8559367686326578,4.481972732384581,4.917332006089099,-0.1897904038500352,1.1433778936519818,0.49277566539923956,0.0144781453312563,316.0,0.9188660543219996,0.8872660543219997,0.0316,0.03159999999999996,0.034390213732856396,314.0,0.014386511500045817
ema_trend_48_192,positive,21974.0,0.7064496198888297,0.531261965568423,0.27204971890820934,1.9528120363457273,2.9092493054627173,2.4526061813268614,-0.21661119898222303,1.097677811144057,0.4882831181252989,0.015199781560025485,334.0,0.6141352016297935,0.5807352016297935,0.0334,0.033399999999999985,0.05438541857129016,329.0,0.014972239919905343
range_to_atr,calm,21900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
range_to_atr,shock,21900.0,1.2271322910506401,0.8975656575309805,0.4312765760948967,2.081183415195457,3.080991885597451,3.839850226938145,-0.23375017370057416,1.0798043421136734,0.4850773765659543,0.019726027397260273,432.0,0.9599088474253472,0.9167088474253473,0.0432,0.043199999999999905,0.045004273182678106,423.0,0.019315068493150685
