fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.4872146118721461,2.733817284757864
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.5561643835616439,2.6410494993222624
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.502283105022831,2.7612535981880386
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.5342465753424658,2.5685353247042313
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.5205479452054794,2.643606357041284
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.5089041095890411,2.5997058432829547
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.5168949771689497,2.631391584170073
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.508675799086758,2.675054943308061
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.5509132420091324,2.4937790072434045
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.504337899543379,2.6396684559387458
