fold,train_rows_raw,train_rows,train_rows_dropped_missing,test_rows,test_pred_rows,test_rows_missing_features,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,8736,160,8576,336,7,329,7,0,0.5714285714285714,
1,9072,167,8905,336,14,322,14,0,0.35714285714285715,
2,9408,183,9225,336,6,330,6,0,0.5,
3,9744,189,9555,336,4,332,4,0,0.75,
4,10080,193,9887,336,13,323,13,0,0.46153846153846156,
5,10416,206,10210,336,5,331,5,0,0.8,
6,10752,210,10542,336,7,329,7,0,0.14285714285714285,
7,11088,218,10870,336,5,331,5,0,1.0,
8,11424,223,11201,336,3,333,3,0,1.0,
9,11760,226,11534,336,7,329,7,0,1.0,
10,12096,233,11863,336,2,334,2,0,0.5,
11,12432,235,12197,336,7,329,7,0,0.42857142857142855,
12,12768,242,12526,336,3,333,3,0,0.6666666666666666,
13,13104,245,12859,336,14,322,14,0,0.42857142857142855,
14,13440,258,13182,336,4,332,4,0,0.25,
15,13776,262,13514,336,8,328,8,0,0.5,
16,14112,271,13841,336,7,329,7,0,0.5714285714285714,
17,14448,278,14170,336,11,325,11,0,0.45454545454545453,
18,14784,289,14495,336,7,329,7,0,0.5714285714285714,
19,15120,296,14824,336,8,328,8,0,0.625,
20,15456,303,15153,336,8,328,8,0,0.5,
21,15792,312,15480,336,3,333,3,0,0.3333333333333333,
22,16128,315,15813,336,5,331,5,0,0.6,
23,16464,318,16146,336,2,334,2,0,0.0,
24,16800,322,16478,336,12,324,12,0,0.75,
25,17136,333,16803,336,9,327,9,0,0.7777777777777778,
26,17472,343,17129,336,4,332,4,0,0.25,
27,17808,347,17461,336,5,331,5,0,0.6,
28,18144,352,17792,336,3,333,3,0,1.0,
29,18480,355,18125,336,4,332,4,0,0.5,
30,18816,359,18457,336,6,330,6,0,0.5,
31,19152,363,18789,336,5,331,5,0,0.8,
32,19488,370,19118,336,4,332,4,0,0.5,
33,19824,372,19452,336,3,333,3,0,0.3333333333333333,
34,20160,377,19783,336,7,329,7,0,0.42857142857142855,
35,20496,384,20112,336,5,331,5,0,0.6,
36,20832,386,20446,336,7,329,7,0,0.42857142857142855,
37,21168,396,20772,336,5,331,5,0,0.4,
38,21504,401,21103,336,7,329,7,0,0.2857142857142857,
39,21840,406,21434,336,3,333,3,0,1.0,
40,22176,411,21765,336,4,332,4,0,0.5,
41,22512,415,22097,336,5,331,5,0,0.6,
42,22848,420,22428,336,2,334,2,0,0.5,
43,23184,422,22762,336,2,334,2,0,0.5,
44,23520,424,23096,336,3,333,3,0,0.6666666666666666,
45,23856,427,23429,336,3,333,3,0,1.0,
46,24192,430,23762,336,5,331,5,0,0.8,
47,24528,434,24094,336,0,336,0,0,,
48,24864,435,24429,336,4,332,4,0,0.25,
49,25200,439,24761,336,2,334,2,0,0.0,
50,25536,441,25095,336,5,331,5,0,0.4,
51,25872,446,25426,336,5,331,5,0,0.4,
52,26208,451,25757,336,7,329,7,0,0.5714285714285714,
53,26544,457,26087,336,3,333,3,0,0.6666666666666666,
54,26880,461,26419,336,6,330,6,0,0.8333333333333334,
55,27216,467,26749,336,5,331,5,0,0.6,
56,27552,472,27080,336,7,329,7,0,0.42857142857142855,
57,27888,477,27411,336,3,333,3,0,0.3333333333333333,
58,28224,482,27742,336,4,332,4,0,0.0,
59,28560,486,28074,336,4,332,4,0,0.75,
60,28896,489,28407,336,7,329,7,0,0.7142857142857143,
61,29232,494,28738,336,8,328,8,0,0.5,
62,29568,505,29063,336,5,331,5,0,0.4,
63,29904,510,29394,336,2,334,2,0,0.5,
64,30240,512,29728,336,2,334,2,0,0.5,
65,30576,514,30062,336,5,331,5,0,0.4,
66,30912,519,30393,336,3,333,3,0,0.6666666666666666,
67,31248,522,30726,336,7,329,7,0,0.2857142857142857,
68,31584,529,31055,336,1,335,1,0,0.0,
69,31920,530,31390,336,7,329,7,0,0.42857142857142855,
70,32256,537,31719,336,11,325,11,0,0.36363636363636365,
71,32592,546,32046,336,5,331,5,0,0.4,
72,32928,553,32375,336,9,327,9,0,0.4444444444444444,
73,33264,560,32704,336,8,328,8,0,0.625,
74,33600,569,33031,336,2,334,2,0,0.5,
75,33936,572,33364,336,2,334,2,0,1.0,
76,34272,574,33698,336,8,328,8,0,0.25,
77,34608,582,34026,336,8,328,8,0,0.375,
78,34944,588,34356,336,7,329,7,0,0.0,
79,35280,597,34683,336,8,328,8,0,0.5,
80,35616,603,35013,336,9,327,9,0,0.4444444444444444,
81,35952,614,35338,336,8,328,8,0,0.75,
82,36288,619,35669,336,1,335,1,0,0.0,
83,36624,623,36001,336,2,334,2,0,0.5,
84,36960,625,36335,336,5,331,5,0,0.6,
85,37296,630,36666,336,5,331,5,0,0.6,
86,37632,635,36997,336,12,324,12,0,0.5,
87,37968,647,37321,336,11,325,11,0,0.6363636363636364,
88,38304,656,37648,336,2,334,2,0,0.5,
89,38640,660,37980,336,9,327,9,0,0.6666666666666666,
90,38976,668,38308,336,2,334,2,0,0.0,
91,39312,670,38642,336,8,328,8,0,0.5,
92,39648,679,38969,336,6,330,6,0,0.5,
93,39984,685,39299,336,7,329,7,0,0.14285714285714285,
