feature,mean_importance,mean_importance_normalized,fold_count,source,rank
regime_vol_ratio_24_168,0.09548788467371785,0.09548788493253174,148,feature_importances_,1
lag_close_logret_1,0.08848149847944041,0.0884814987635554,148,feature_importances_,2
regime_absret_z_24_168,0.08790774739070518,0.08790774766142563,148,feature_importances_,3
shock_atr_multiple_1h,0.08625677691118137,0.0862567771929884,148,feature_importances_,4
shock_distance_ema,0.08352903910988085,0.08352903935111897,148,feature_importances_,5
shock_strength,0.08257398321419149,0.08257398348632945,148,feature_importances_,6
shock_atr_multiple_4h,0.08206028043216951,0.08206028071080311,148,feature_importances_,7
close_rsi_14,0.08185045214722285,0.08185045237052778,148,feature_importances_,8
bb_percent_b_24_2.0,0.08011126563557096,0.08011126586130261,148,feature_importances_,9
close_rsi_2,0.07909639471688786,0.07909639496819934,148,feature_importances_,10
shock_ret_z_4h,0.07712735643459333,0.07712735666370205,148,feature_importances_,11
shock_ret_z_1h,0.07551731783393267,0.07551731803751553,148,feature_importances_,12
