asset,signal_timestamp,entry_timestamp,exit_timestamp,side,signal,entry_price,exit_price,raw_entry_price,raw_exit_price,take_profit_price,stop_loss_price,target_price,position_size,gross_return,cost_paid,net_return,trade_r,bars_held,exit_reason,max_favorable_r,max_adverse_r,breakeven_activated,profit_lock_activated,effective_stop_price,r_trailing_activated,r_trailing_activation_r,r_trailing_distance_r,initial_risk_distance,effective_trailing_stop,intrabar_policy,stop_mode,effective_risk_per_trade,risk_guard_reason,cost_return,net_r_multiple,mfe_r_multiple,mae_r_multiple,total_cost,entry_cost,exit_cost,holding_cost,cost_component_reconciliation,gross_pnl_currency,net_pnl_currency,cost_currency,gross_r_multiple,return_unit,r_multiple_unit,currency_pnl_available
ETHUSD,2022-03-18 00:00:00,2022-03-18 00:30:00,2022-03-18 12:00:00,long,0.5,2809.2,2804.1,2809.2,2804.1,3729.5956365957854,2735.568349072337,3729.5956365957854,0.0763041427051476,-0.00013852738423616624,8.011934984040497e-05,-0.0002186467340765712,-0.1093233670382856,24,max_holding_close,0.07673330597395875,-0.5405284208430953,False,False,2735.568349072337,False,1.0,0.5,18.407257064122824,,adverse_first,volatility_stop,0.002,,8.011934984040496e-05,-0.1093233670382856,0.07673330597395875,-0.5405284208430953,8.011934984040496e-05,4.005967492020248e-05,4.005967492020248e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-03-24 05:30:00,2022-03-24 06:00:00,2022-03-24 13:00:00,short,-0.5,3049.55,3020.1793412876095,3049.55,3020.1793412876095,2046.5994008692915,3129.786047930457,2046.5994008692915,0.07601446179510607,0.00073210631555151,7.981518488486137e-05,0.0006522911306666487,0.32614556533332434,15,r_trailing_stop,0.4910511050363479,-0.280422585363396,False,False,3020.1793412876095,True,1.0,0.5,20.058682575219265,3020.1793412876095,adverse_first,volatility_stop,0.002,,7.981518488486133e-05,0.32614556533332434,0.4910511050363479,-0.280422585363396,7.981518488486133e-05,3.990759244243067e-05,3.990759244243067e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-03-25 02:00:00,2022-03-25 02:30:00,2022-03-25 08:30:00,short,-0.5,3132.7,3122.55,3132.7,3122.55,2155.8309991911983,3210.849520064704,2155.8309991911983,0.08017195748371256,0.00025975847302954177,8.418055535789817e-05,0.0001755779176716436,0.0877889588358218,13,r_trailing_stop,0.41075108296791357,-0.20025714792673177,False,False,3110.36837795647,True,1.0,0.5,19.536755912939665,3110.36837795647,adverse_first,volatility_stop,0.002,,8.418055535789817e-05,0.0877889588358218,0.41075108296791357,-0.20025714792673177,8.418055535789817e-05,4.209027767894909e-05,4.209027767894909e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-03-25 17:00:00,2022-03-25 17:30:00,2022-03-26 06:00:00,short,-0.5,3095.8,3129.05,3095.8,3129.05,2103.6947182837876,3175.1684225372974,2103.6947182837876,0.07801087387229383,-0.0008378647058123114,8.191141756590851e-05,-0.0009197761233782199,-0.45988806168910995,24,max_holding_close,0.15560344536514875,-0.470590176873532,False,False,3175.1684225372974,False,1.0,0.5,19.841464031730844,,adverse_first,volatility_stop,0.002,,8.191141756590855e-05,-0.45988806168910995,0.15560344536514875,-0.470590176873532,8.191141756590855e-05,4.0955708782954275e-05,4.0955708782954275e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-03-28 13:30:00,2022-03-28 14:00:00,2022-03-28 15:00:00,long,0.5,3380.4,3389.408340575568,3380.4,3389.408340575568,4209.5904933750635,3314.064760529995,4209.5904933750635,0.1019186793326803,0.0002716004539228882,0.0001070146132993143,0.0001645858406235739,0.08229292031178695,3,r_trailing_stop,0.318081311963014,-0.3331562556579436,False,False,3389.408340575568,True,1.0,0.5,16.583318848862827,3389.408340575568,adverse_first,volatility_stop,0.002,,0.0001070146132993143,0.08229292031178695,0.318081311963014,-0.3331562556579436,0.0001070146132993143,5.350730664965715e-05,5.350730664965715e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-03-28 15:00:00,2022-03-28 15:30:00,2022-03-28 19:00:00,long,0.5,3387.2,3416.109399582043,3387.2,3416.109399582043,4241.297855649888,3318.8721715480087,4241.297855649888,0.09914554806552751,0.0008461969372363619,0.00010410282546880388,0.000742094111767558,0.371047055883779,8,r_trailing_stop,0.6168789635926486,-0.7566463207055613,False,False,3416.109399582043,True,1.0,0.5,17.081200835914753,3416.109399582043,adverse_first,volatility_stop,0.002,,0.0001041028254688039,0.371047055883779,0.6168789635926486,-0.7566463207055613,0.0001041028254688039,5.205141273440195e-05,5.205141273440195e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-03-28 19:00:00,2022-03-28 19:30:00,2022-03-28 23:00:00,long,0.5,3426.45,3352.219600607268,3426.45,3352.219600607268,4354.329992409143,3352.219600607268,4354.329992409143,0.09231932006378271,-0.002,9.693528606697185e-05,-0.002096935286066972,-1.048467643033486,8,stop_loss,0.08150299674384578,-1.1929074977962488,False,False,3352.219600607268,False,1.0,0.5,18.55787042594795,,adverse_first,volatility_stop,0.002,,9.693528606697201e-05,-1.048467643033486,0.08150299674384578,-1.1929074977962488,9.693528606697201e-05,4.8467643033486005e-05,4.8467643033486005e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-03-29 01:30:00,2022-03-29 02:00:00,2022-03-29 03:30:00,short,-0.5,3390.75,3379.0995661537504,3390.75,3379.0995661537504,2380.823172294069,3471.5441462164745,2380.823172294069,0.08393553639183338,0.00028839796920520185,8.813231321142503e-05,0.0002002656559937768,0.1001328279968884,4,r_trailing_stop,0.2692026714624163,-0.14852561184133312,False,False,3379.0995661537504,True,1.0,0.5,20.199132307500516,3379.0995661537504,adverse_first,volatility_stop,0.002,,8.813231321142505e-05,0.1001328279968884,0.2692026714624163,-0.14852561184133312,8.813231321142505e-05,4.406615660571252e-05,4.406615660571252e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-03-29 04:00:00,2022-03-29 04:30:00,2022-03-29 11:30:00,short,-0.5,3390.3,3470.515042486042,3390.3,3470.515042486042,2387.611968924478,3470.515042486042,2387.611968924478,0.08453027998058958,-0.002,8.875679397961906e-05,-0.0020887567939796192,-1.0443783969898095,15,stop_loss,0.04986595875326041,-1.0122789626911841,False,False,3470.515042486042,False,1.0,0.5,20.0543514564013,,adverse_first,volatility_stop,0.002,,8.87567939796192e-05,-1.0443783969898095,0.04986595875326041,-1.0122789626911841,8.87567939796192e-05,4.43783969898096e-05,4.43783969898096e-05,0.0,0.0,,,,,fractional_return,R,False
ETHUSD,2022-03-30 11:00:00,2022-03-30 11:30:00,2022-03-30 12:30:00,short,-0.5,3413.25,3400.4569049882316,3413.25,3400.4569049882316,2352.5750026158057,3498.1039997907355,2352.5750026158057,0.08044994952312579,0.0003015319264458598,8.447244699928207e-05,0.00021705947944657773,0.10852973972328886,3,r_trailing_stop,0.2757677900594908,-0.07895915356404132,False,False,3400.4569049882316,True,1.0,0.5,21.213809976462194,3400.4569049882316,adverse_first,volatility_stop,0.002,,8.447244699928209e-05,0.10852973972328886,0.2757677900594908,-0.07895915356404132,8.447244699928209e-05,4.223622349964104e-05,4.223622349964104e-05,0.0,0.0,,,,,fractional_return,R,False
