timestamp,open,high,low,close,volume
1420149600000,119.746,119.841,119.701,119.824,702.65
1420153200000,119.824,119.967,119.804,119.885,3082.5
1420156800000,119.885,120.074,119.835,120.074,2144.8899
1420160400000,120.072,120.426,120.052,120.274,3877.04
1420164000000,120.273,120.428,120.26,120.357,2656.02
1420167600000,120.357,120.371,120.277,120.322,1821.85
1420171200000,120.322,120.474,120.322,120.436,1897.28
1420174800000,120.436,120.473,120.406,120.42,1178.88
1420178400000,120.421,120.445,120.336,120.403,1778.72
1420182000000,120.402,120.507,120.387,120.439,3612.96
1420185600000,120.439,120.485,120.343,120.346,4343.4399
1420189200000,120.349,120.427,120.314,120.409,4430.6602
1420192800000,120.411,120.479,120.379,120.437,2356.48
1420196400000,120.438,120.496,120.435,120.482,2538.6299
1420200000000,120.484,120.657,120.482,120.626,3156.6899
1420203600000,120.627,120.653,120.554,120.606,4021.73
1420207200000,120.608,120.741,120.574,120.689,5793.1401
1420210800000,120.688,120.688,120.001,120.193,9817.2998
1420214400000,120.193,120.231,119.805,120.209,8246.4805
1420218000000,120.209,120.388,120.15,120.235,4397.5898
1420221600000,120.236,120.324,120.21,120.309,3025.8501
1420225200000,120.31,120.393,120.3,120.34,3041.27
1420228800000,120.34,120.487,120.305,120.472,3057.51
1420232400000,120.471,120.534,120.441,120.448,1845.79
1420408800000,120.499,120.6,120.319,120.533,3844.72
1420412400000,120.533,120.573,120.371,120.395,4262.7202
1420416000000,120.395,120.419,119.982,120.261,9035.25
1420419600000,120.261,120.424,120.126,120.4,6402.3398
1420423200000,120.399,120.399,120.237,120.332,3921.1699
1420426800000,120.333,120.6,120.312,120.596,4907.4702
1420430400000,120.594,120.645,120.495,120.544,3675.77
1420434000000,120.543,120.606,120.357,120.401,3868.47
1420437600000,120.406,120.511,120.359,120.384,3509.71
1420441200000,120.383,120.477,120.31,120.37,4883.7798
1420444800000,120.371,120.425,120.262,120.353,6601.29
1420448400000,120.353,120.395,120.13,120.214,5755.6499
1420452000000,120.213,120.382,120.171,120.36,5482.73
1420455600000,120.362,120.432,120.238,120.272,5369.8198
1420459200000,120.273,120.286,120.042,120.154,6136.2998
1420462800000,120.156,120.179,119.755,119.825,7908.2798
1420466400000,119.822,119.838,119.459,119.485,10787.6299
1420470000000,119.483,119.667,119.375,119.585,11597.6699
1420473600000,119.589,119.78,119.434,119.652,9284.2402
1420477200000,119.652,119.785,119.556,119.61,5108.8101
1420480800000,119.611,119.793,119.577,119.692,4834.0098
1420484400000,119.692,119.699,119.495,119.534,4472.79
1420488000000,119.534,119.674,119.493,119.655,4024.4199
1420491600000,119.658,119.658,119.571,119.636,1822.9301
1420495200000,119.636,119.638,119.259,119.288,3080.7
1420498800000,119.289,119.489,119.287,119.421,3698.1101
1420502400000,119.422,119.507,119.16,119.169,5293.96
1420506000000,119.167,119.448,119.164,119.447,4490.6099
1420509600000,119.446,119.446,119.171,119.336,5089.3999
1420513200000,119.337,119.385,119.251,119.295,3403.1899
1420516800000,119.293,119.293,119.091,119.24,4439.5601
1420520400000,119.239,119.24,118.884,118.959,5765.75
1420524000000,118.958,119.04,118.654,118.796,6120.4502
1420527600000,118.796,119.171,118.786,119.166,7161.46
1420531200000,119.164,119.237,118.751,118.881,8493.46
1420534800000,118.882,119.008,118.712,118.838,7401.4902
1420538400000,118.836,118.983,118.747,118.97,5955.23
1420542000000,118.97,119.344,118.963,119.314,6640.4902
1420545600000,119.314,119.391,119.051,119.052,6747.9302
1420549200000,119.053,119.128,118.901,119.002,7756.2402
1420552800000,119.003,119.197,118.85,118.862,8252.4102
1420556400000,118.862,119.065,118.609,118.707,11623.9902
1420560000000,118.711,118.806,118.199,118.218,12889.71
1420563600000,118.219,118.483,118.05,118.483,10877.2002
1420567200000,118.481,118.481,118.084,118.372,8560.4902
1420570800000,118.372,118.648,118.243,118.625,7418.75
