timestamp,open,high,low,close,volume
1420153200000,1183.949,1187.403,1183.23,1186.664,0.557
1420156800000,1186.684,1188.282,1186.069,1187.412,0.7305
1420160400000,1187.398,1187.398,1184.341,1184.981,0.5577
1420164000000,1185.001,1185.392,1184.261,1185.101,0.4557
1420167600000,1185.012,1186.222,1184.441,1186.182,0.3652
1420171200000,1186.261,1187.392,1184.781,1184.782,0.5593
1420174800000,1184.782,1185.982,1184.481,1185.931,0.4009
1420178400000,1185.881,1187.481,1185.871,1186.931,0.6419
1420182000000,1186.941,1187.151,1184.692,1185.842,1.4237
1420185600000,1185.881,1187.941,1185.881,1186.622,1.7607
1420189200000,1186.622,1187.021,1184.791,1186.252,1.4508
1420192800000,1186.389,1186.789,1181.318,1182.661,2.0903
1420196400000,1182.652,1183.888,1180.581,1182.711,2.2796
1420200000000,1182.851,1183.611,1173.507,1177.101,2.6664
1420203600000,1177.038,1178.25,1167.43,1174.211,3.9863
1420207200000,1174.212,1174.462,1169.21,1171.712,3.7268
1420210800000,1172.823,1194.331,1171.471,1187.941,6.3979
1420214400000,1187.941,1194.998,1187.662,1192.228,4.7826
1420218000000,1192.228,1192.834,1185.999,1187.415,3.1479
1420221600000,1187.439,1188.846,1182.176,1182.624,2.6167
1420225200000,1182.654,1186.445,1182.425,1185.146,1.1838
1420228800000,1185.158,1187.53,1184.294,1187.396,0.8833
1420232400000,1187.437,1189.055,1186.929,1188.354,0.6083
1420412400000,1188.111,1188.48,1177.929,1183.841,1.181
1420416000000,1183.841,1189.861,1182.784,1189.64,1.5805
1420419600000,1189.64,1192.941,1189.576,1191.401,1.9054
1420423200000,1191.421,1194.268,1190.059,1193.062,1.4933
1420426800000,1193.121,1193.869,1192.582,1192.873,0.9905
1420430400000,1192.863,1192.863,1191.112,1191.636,0.9983
1420434000000,1191.619,1197.692,1191.348,1196.481,1.6618
1420437600000,1196.542,1197.042,1194.731,1196.501,1.3844
1420441200000,1196.501,1197.748,1195.462,1195.642,1.8703
1420444800000,1195.625,1197.399,1193.219,1193.502,2.2989
1420448400000,1193.54,1195.939,1193.049,1194.418,1.7907
1420452000000,1194.418,1195.039,1188.488,1189.656,2.5573
1420455600000,1189.644,1191.242,1186.948,1189.09,1.881
1420459200000,1189.09,1190.549,1186.765,1189.102,2.5574
1420462800000,1189.091,1198.791,1186.729,1194.248,5.4931
1420466400000,1194.26,1200.491,1193.291,1198.892,5.7346
1420470000000,1198.841,1202.517,1197.409,1198.738,5.4345
1420473600000,1198.689,1198.852,1194.388,1196.419,3.1993
1420477200000,1196.411,1201.339,1195.801,1200.872,2.7719
1420480800000,1200.888,1204.338,1199.818,1202.529,2.2266
1420484400000,1202.469,1204.388,1201.93,1203.98,0.8894
1420488000000,1203.979,1207.387,1203.478,1205.783,1.0931
1420491600000,1205.797,1206.352,1203.379,1204.361,0.3664
1420495200000,1204.111,1204.111,1204.111,1204.111,0.0004
1420498800000,1202.701,1204.813,1202.28,1203.241,0.414
1420502400000,1203.23,1203.652,1201.603,1203.161,0.8403
1420506000000,1203.181,1204.769,1202.486,1204.121,1.8438
1420509600000,1204.162,1205.362,1204.031,1204.841,1.1828
1420513200000,1204.842,1205.822,1204.501,1205.602,1
1420516800000,1205.691,1208.099,1205.472,1206.591,1.0009
1420520400000,1206.591,1207.241,1205.211,1205.991,0.9143
1420524000000,1206.032,1210.485,1205.994,1208.41,2.4776
1420527600000,1208.502,1211.842,1208.41,1208.632,1.9254
1420531200000,1208.643,1212.412,1206.611,1211.646,2.8114
1420534800000,1211.641,1214.278,1210.579,1213.308,3.5446
1420538400000,1213.308,1213.419,1210.31,1210.894,2.4113
1420542000000,1210.878,1211.829,1208.871,1210.082,2.7126
1420545600000,1210.061,1211.171,1208.099,1210.111,2.6484
1420549200000,1210.129,1213.949,1208.684,1210.631,4.1294
1420552800000,1210.631,1211.587,1208.149,1209.872,3.2707
1420556400000,1209.99,1213.282,1205.402,1208.781,5.0406
1420560000000,1208.789,1223.022,1207.192,1219.716,5.6069
1420563600000,1219.532,1221.25,1215.655,1216.901,5.6003
1420567200000,1216.917,1220.829,1216.708,1216.919,3.9979
1420570800000,1216.919,1217.909,1214.389,1217.278,2.8145
1420574400000,1217.278,1219.269,1217.219,1218.929,1.5311
