timestamp,open,high,low,close,volume
1420149600000,1.55783,1.55871,1.55733,1.55789,1811.46
1420153200000,1.55782,1.55819,1.55682,1.55786,7275.3198
1420156800000,1.55786,1.55821,1.55617,1.55634,3251.49
1420160400000,1.5564,1.55683,1.55418,1.55529,5016.3101
1420164000000,1.55529,1.5556,1.55406,1.55447,4395.71
1420167600000,1.55448,1.55562,1.55417,1.55545,4664.3301
1420171200000,1.55545,1.55569,1.5541,1.55442,3845.3899
1420174800000,1.5544,1.55472,1.55407,1.55466,2362.3101
1420178400000,1.55464,1.55503,1.55409,1.55445,5038.5498
1420182000000,1.5545,1.55469,1.55353,1.55393,12907.1299
1420185600000,1.55393,1.55476,1.55147,1.55299,17689.4297
1420189200000,1.55305,1.55373,1.54761,1.54792,19152.6992
1420192800000,1.54792,1.54802,1.54397,1.54446,15522.7197
1420196400000,1.54444,1.54534,1.54268,1.54383,14545.8301
1420200000000,1.54383,1.54426,1.54123,1.54261,14622.5703
1420203600000,1.54261,1.54393,1.54131,1.54165,11892.8896
1420207200000,1.54164,1.54192,1.53888,1.53954,14007.71
1420210800000,1.53954,1.54102,1.53862,1.53878,19742.5605
1420214400000,1.5388,1.53917,1.5356,1.53602,17474.0293
1420218000000,1.53601,1.53632,1.53523,1.53585,5300.54
1420221600000,1.53585,1.53585,1.53518,1.53531,3200.5801
1420225200000,1.5353,1.5355,1.53305,1.5335,4734.8198
1420228800000,1.5335,1.53409,1.53273,1.53334,3853.3301
1420232400000,1.53333,1.53347,1.53252,1.53252,2459.3701
1420408800000,1.53002,1.53003,1.51535,1.52678,5406.3501
1420412400000,1.52698,1.52989,1.52614,1.52844,6959.7998
1420416000000,1.52833,1.53193,1.52833,1.53088,5950.5298
1420419600000,1.53088,1.53185,1.52977,1.53028,5081.0698
1420423200000,1.53027,1.5304,1.52906,1.52906,2611.3401
1420426800000,1.52906,1.5295,1.5284,1.52883,2912.3501
1420430400000,1.52883,1.52918,1.52838,1.52864,2266.8799
1420434000000,1.52864,1.52905,1.52773,1.52858,2423.6799
1420437600000,1.52857,1.52868,1.52731,1.52812,2458.21
1420441200000,1.52816,1.52997,1.5279,1.52911,11259.2598
1420444800000,1.52901,1.53193,1.52901,1.53037,19566.6309
1420448400000,1.53039,1.53135,1.52854,1.53056,16836.1191
1420452000000,1.53056,1.53074,1.52666,1.52669,15353.1299
1420455600000,1.52671,1.52718,1.52487,1.52536,14000.6504
1420459200000,1.52534,1.52543,1.5205,1.52142,17764.9609
1420462800000,1.52142,1.52369,1.52053,1.5208,16122.1699
1420466400000,1.52075,1.52341,1.5203,1.52308,16968.3203
1420470000000,1.5231,1.52466,1.52192,1.524,16996.7305
1420473600000,1.52392,1.52436,1.52292,1.52332,10874.71
1420477200000,1.52332,1.52406,1.52246,1.52262,5044.9702
1420480800000,1.52261,1.52488,1.52211,1.52487,4481.9102
1420484400000,1.52487,1.52605,1.52444,1.52541,3500.05
1420488000000,1.52541,1.52702,1.52513,1.52524,3511.8401
1420491600000,1.52525,1.52599,1.52465,1.52472,2523.01
1420495200000,1.52474,1.52538,1.52456,1.52514,2577.96
1420498800000,1.52516,1.52613,1.52494,1.52569,1854.24
1420502400000,1.52569,1.52651,1.52543,1.52648,2049.4099
1420506000000,1.52648,1.52657,1.52565,1.52605,2409.74
1420509600000,1.52605,1.52739,1.52595,1.52628,2725.8799
1420513200000,1.52627,1.5266,1.52567,1.52595,1664.83
1420516800000,1.52595,1.52612,1.52569,1.52583,1754.89
1420520400000,1.52584,1.52615,1.52568,1.52607,2285.9099
1420524000000,1.52607,1.52704,1.52555,1.52599,4689.6299
1420527600000,1.52598,1.52601,1.52295,1.52314,9548.9004
1420531200000,1.52312,1.52481,1.5214,1.5243,17677.4902
1420534800000,1.5243,1.52466,1.51874,1.52022,21037.8008
1420538400000,1.52024,1.52039,1.51762,1.51866,14983.8203
1420542000000,1.51865,1.52065,1.51839,1.51923,14016.9404
1420545600000,1.51922,1.51995,1.51841,1.51922,14304.7998
1420549200000,1.51922,1.51956,1.51673,1.51792,17981.7109
1420552800000,1.51791,1.51816,1.51522,1.5175,16497.0293
1420556400000,1.5175,1.51975,1.51632,1.51699,18716.1992
1420560000000,1.51697,1.51839,1.51652,1.5176,18185.3398
1420563600000,1.51758,1.51888,1.51701,1.51721,9699.3799
1420567200000,1.5172,1.51885,1.51717,1.51885,6315.77
1420570800000,1.51885,1.51906,1.51603,1.51634,5950.1099
1420574400000,1.51636,1.51647,1.51486,1.5152,4945.5498
1420578000000,1.5152,1.51574,1.51408,1.51502,3669.8201
1420581600000,1.51504,1.51506,1.51082,1.51388,4463.4702
1420585200000,1.51387,1.51453,1.51325,1.51341,2832.75
1420588800000,1.51341,1.51382,1.51263,1.51278,3454.3501
1420592400000,1.51281,1.51443,1.51281,1.51438,2600.5601
1420596000000,1.51437,1.51437,1.51341,1.51388,2665.9299
1420599600000,1.51389,1.51483,1.51347,1.51441,2849.55
1420603200000,1.51437,1.51455,1.51384,1.51385,2454.96
1420606800000,1.51385,1.51426,1.51349,1.5138,2210.9299
1420610400000,1.5138,1.51414,1.5124,1.51312,4227.27
1420614000000,1.51312,1.51501,1.51266,1.51398,14629.8604
1420617600000,1.51399,1.5155,1.51208,1.51272,19771.1191
1420621200000,1.51272,1.51435,1.51148,1.5119,17268.25
1420624800000,1.5119,1.51434,1.51054,1.51388,18339.0098
1420628400000,1.51387,1.51389,1.51163,1.51202,15297.7305
1420632000000,1.51202,1.51358,1.51188,1.51274,14125.04
1420635600000,1.51272,1.51304,1.50974,1.51054,19877.9395
1420639200000,1.51056,1.51062,1.5077,1.50832,19445.4902
1420642800000,1.50833,1.50981,1.50592,1.50632,19705.6699
1420646400000,1.50631,1.50795,1.5055,1.50722,19140.9102
1420650000000,1.50722,1.50891,1.50672,1.50872,5330.27
1420653600000,1.50872,1.5102,1.50849,1.5099,5764.98
1420657200000,1.50989,1.51263,1.50792,1.51222,11628.1104
1420660800000,1.51222,1.51222,1.51039,1.5108,5636.1299
1420664400000,1.5108,1.51126,1.51044,1.51098,2828.01
1420668000000,1.51098,1.51123,1.51027,1.5106,3070.0801
1420671600000,1.5106,1.51072,1.51013,1.51049,2167.3201
1420675200000,1.51045,1.51173,1.51035,1.51049,3104.9199
1420678800000,1.51049,1.51091,1.50944,1.50961,3241.1001
1420682400000,1.50961,1.50985,1.50842,1.50906,1646.64
1420686000000,1.50905,1.50972,1.50846,1.50937,2079.52
1420689600000,1.50937,1.5095,1.50842,1.50868,1754.73
1420693200000,1.50868,1.50901,1.50818,1.5087,2054.1799
1420696800000,1.5087,1.50941,1.50828,1.50883,3160.47
1420700400000,1.50883,1.50888,1.50619,1.50722,10582
1420704000000,1.50722,1.50735,1.50342,1.50363,20606.0293
1420707600000,1.50362,1.50601,1.50353,1.50536,14611.7598
1420711200000,1.50538,1.50698,1.50496,1.5056,14167.71
1420714800000,1.50559,1.50726,1.50517,1.50601,11640.8203
1420718400000,1.50605,1.50762,1.50441,1.50687,15884.6504
1420722000000,1.50688,1.5081,1.506,1.50763,16776.4004
1420725600000,1.50761,1.50922,1.5057,1.509,16762.1797
1420729200000,1.509,1.50951,1.50725,1.50811,16218.4297
1420732800000,1.50809,1.51176,1.508,1.51174,12537.4004
1420736400000,1.51173,1.51175,1.51067,1.51148,5064.3999
1420740000000,1.51148,1.51165,1.50956,1.51041,3379.4199
1420743600000,1.51035,1.51068,1.50802,1.50842,3853.4399
1420747200000,1.50842,1.50872,1.50809,1.50832,2317.71
1420750800000,1.50832,1.50912,1.50797,1.50887,2770.95
1420754400000,1.50887,1.50887,1.50785,1.50797,2385.5
1420758000000,1.508,1.50901,1.50771,1.50851,2710.3899
1420761600000,1.50851,1.50953,1.50833,1.50945,2093.6101
1420765200000,1.50945,1.51043,1.50894,1.5091,4179.7998
1420768800000,1.5091,1.50993,1.50887,1.50932,4071.78
1420772400000,1.50932,1.50959,1.50899,1.50927,2457.6799
1420776000000,1.50929,1.50956,1.50906,1.50919,2938.77
1420779600000,1.50919,1.5101,1.50918,1.50971,2801.6399
1420783200000,1.50972,1.50972,1.50884,1.5091,2909.4099
1420786800000,1.5091,1.5101,1.509,1.50955,8092.6299
1420790400000,1.50955,1.51189,1.50954,1.51159,11523.6201
1420794000000,1.5116,1.51492,1.5109,1.51312,18078.2402
1420797600000,1.5131,1.51538,1.51236,1.51511,11158.9404
1420801200000,1.51509,1.51613,1.51414,1.51497,9386.29
1420804800000,1.51498,1.51498,1.51305,1.51322,10087.7598
1420808400000,1.51322,1.51755,1.50964,1.51201,31755.5801
1420812000000,1.51201,1.51341,1.51013,1.51163,17620.9805
1420815600000,1.51168,1.51691,1.5116,1.51469,24357.8809
1420819200000,1.51472,1.51657,1.51399,1.51495,16948.9902
1420822800000,1.51496,1.51617,1.51387,1.51413,5058.6802
