fold,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,calmar,max_drawdown,profit_factor,hit_rate,avg_turnover,total_turnover,gross_pnl,net_pnl,total_cost,cost_drag,cost_to_gross_pnl,trade_count,trade_rate
0,0.1594546390043734,0.8072367532998943,0.31585113095242073,2.5557507135267947,3.7649842048489277,8.115275215994295,-0.09947127260809607,1.1011920619595248,0.5066964285714286,0.01643835616438356,72.0,0.16760616338187062,0.1604061633818707,0.0072,0.007199999999999929,0.0429578474605117,70.0,0.01598173515981735
1,0.4222291752670724,3.0914602257519306,0.5399495867177313,5.725460861160079,9.299710161261244,18.665892175200444,-0.16562081237452198,1.1539111012720207,0.4857744994731296,0.017351598173515982,76.0,0.39599799626087195,0.38839799626087196,0.0076,0.007599999999999996,0.01919201630251013,74.0,0.016894977168949773
2,0.5043196718497378,4.12106795806483,0.3629793119332914,11.353451347172653,20.304548608293306,59.939362139663345,-0.06875395084222657,1.3464090838577334,0.49355670103092786,0.014383561643835616,63.0,0.43091367479438814,0.4246136747943881,0.006300000000000001,0.006300000000000028,0.014620097640220089,60.0,0.0136986301369863
3,0.06952277856091627,0.3084591068405227,0.2500407112063037,1.2336355361988196,1.8387924154912272,2.328985303870842,-0.13244356086225817,1.0649217881841062,0.4809081527347781,0.01780821917808219,78.0,0.0828170666534882,0.07501706665348823,0.0078000000000000005,0.007799999999999974,0.09418348554453987,77.0,0.017579908675799085
4,0.04278759562438528,0.18245174269580633,0.2160240554471586,0.844589933830011,1.2492154275119964,2.5081762527166114,-0.07274279169902531,1.057744028470008,0.49129852744310576,0.0136986301369863,60.0,0.05372011430171575,0.04772011430171575,0.006,0.005999999999999998,0.11169000807223466,59.0,0.013470319634703196
5,-0.0721002012214258,-0.25868238101689045,0.15295780779452253,-1.6912008922381663,-2.1978484917016314,-2.361142022400831,-0.10955816234800642,0.8916413405372797,0.46732954545454547,0.012785388127853882,56.0,-0.0662999414100992,-0.0718999414100992,0.005600000000000001,0.005599999999999994,0.08446462969493627,56.0,0.012785388127853882
6,0.002458105218030804,0.009868734006462265,0.1631296940920841,0.06049624540392703,0.08485702380432485,0.11977499155654545,-0.08239394449719717,1.0066498889250368,0.4765258215962441,0.015525114155251141,68.0,0.012581565146868923,0.005781565146868929,0.0068000000000000005,0.0067999999999999935,0.5404732972902234,67.0,0.015296803652968037
7,0.1176881839831061,0.5605677892584018,0.23626579051365795,2.372615129933492,3.5364419512173244,5.415197449837451,-0.10351751611111215,1.1157460360207436,0.4870689655172414,0.012785388127853882,56.0,0.12383608180372985,0.11823608180372987,0.005600000000000001,0.00559999999999998,0.045221069000515916,55.0,0.012557077625570776
8,0.10516444446319628,0.49178974409724874,0.25217894990349476,1.9501617572975443,2.7552623841718713,6.097968665441617,-0.08064812580692937,1.104499377926545,0.49382716049382713,0.011872146118721462,52.0,0.11315092945999183,0.10795092945999185,0.0052,0.005199999999999982,0.04595631714928712,52.0,0.011872146118721462
9,0.4374048704072384,3.268904588021507,0.30454711792547784,10.733657932108235,21.311215036579075,70.36675159469394,-0.04645524361917541,1.4219240212732978,0.5288888888888889,0.012328767123287671,54.0,0.37963208603845777,0.37423208603845776,0.0054,0.005400000000000016,0.01422429820500727,53.0,0.012100456621004566
